PLAYER_ID,PLAYER_NAME,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,SEASON
1630639,A.J. Lawson,10.0,23.0,0.435,2022-23
1631260,AJ Green,36.0,81.0,0.444,2022-23
1631100,AJ Griffin,72.0,198.0,0.364,2022-23
203932,Aaron Gordon,33.0,104.0,0.317,2022-23
1628988,Aaron Holiday,27.0,62.0,0.435,2022-23
1630174,Aaron Nesmith,93.0,268.0,0.347,2022-23
1630598,Aaron Wiggins,44.0,113.0,0.389,2022-23
1629678,Admiral Schofield,23.0,68.0,0.338,2022-23
201143,Al Horford,141.0,315.0,0.448,2022-23
202692,Alec Burks,53.0,122.0,0.434,2022-23
1630197,Aleksej Pokusevski,37.0,99.0,0.374,2022-23
1627936,Alex Caruso,51.0,136.0,0.375,2022-23
203458,Alex Len,0.0,2.0,0.0,2022-23
1628993,Alize Johnson,0.0,1.0,0.0,2022-23
1631214,Alondes Williams,,,,2022-23
1630578,Alperen Sengun,17.0,46.0,0.37,2022-23
1629599,Amir Coffey,10.0,33.0,0.303,2022-23
203083,Andre Drummond,0.0,3.0,0.0,2022-23
2738,Andre Iguodala,0.0,6.0,0.0,2022-23
1629614,Andrew Nembhard,71.0,194.0,0.366,2022-23
203952,Andrew Wiggins,79.0,186.0,0.425,2022-23
1629014,Anfernee Simons,118.0,301.0,0.392,2022-23
203076,Anthony Davis,19.0,67.0,0.284,2022-23
1630162,Anthony Edwards,83.0,199.0,0.417,2022-23
1630264,Anthony Gill,4.0,25.0,0.16,2022-23
1630237,Anthony Lamb,65.0,179.0,0.363,2022-23
1630559,Austin Reaves,64.0,159.0,0.403,2022-23
203085,Austin Rivers,37.0,102.0,0.363,2022-23
1630245,Ayo Dosunmu,56.0,181.0,0.309,2022-23
1628389,Bam Adebayo,1.0,8.0,0.125,2022-23
1627732,Ben Simmons,0.0,0.0,,2022-23
1631097,Bennedict Mathurin,53.0,172.0,0.308,2022-23
202687,Bismack Biyombo,,,,2022-23
201933,Blake Griffin,21.0,56.0,0.375,2022-23
1631104,Blake Wesley,15.0,42.0,0.357,2022-23
1626246,Boban Marjanovic,0.0,1.0,0.0,2022-23
1626171,Bobby Portis,94.0,249.0,0.378,2022-23
203992,Bogdan Bogdanović,101.0,257.0,0.393,2022-23
202711,Bojan Bogdanovic,107.0,235.0,0.455,2022-23
1629626,Bol Bol,18.0,66.0,0.273,2022-23
1630538,Bones Hyland,59.0,154.0,0.383,2022-23
203078,Bradley Beal,44.0,110.0,0.4,2022-23
1630527,Brandon Boston,5.0,14.0,0.357,2022-23
1629634,Brandon Clarke,1.0,6.0,0.167,2022-23
1627742,Brandon Ingram,50.0,120.0,0.417,2022-23
1630296,Braxton Key,,,,2022-23
201572,Brook Lopez,125.0,328.0,0.381,2022-23
1628971,Bruce Brown,83.0,222.0,0.374,2022-23
1628981,Bruno Fernando,0.0,4.0,0.0,2022-23
1631121,Bryce McGowens,22.0,67.0,0.328,2022-23
1627854,Bryn Forbes,10.0,32.0,0.313,2022-23
1631205,Buddy Boeheim,4.0,24.0,0.167,2022-23
1627741,Buddy Hield,201.0,479.0,0.42,2022-23
203468,CJ McCollum,133.0,322.0,0.413,2022-23
1630595,Cade Cunningham,9.0,27.0,0.333,2022-23
1631216,Caleb Houstan,43.0,130.0,0.331,2022-23
1628997,Caleb Martin,63.0,189.0,0.333,2022-23
1629629,Cam Reddish,35.0,113.0,0.31,2022-23
1630560,Cam Thomas,18.0,44.0,0.409,2022-23
1629661,Cameron Johnson,93.0,224.0,0.415,2022-23
1626166,Cameron Payne,36.0,108.0,0.333,2022-23
1627747,Caris LeVert,83.0,211.0,0.393,2022-23
