PLAYER_ID,PLAYER_NAME,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,SEASON
203932,Aaron Gordon,71.0,197.0,0.36,2021-22
1630565,Aaron Henry,0.0,0.0,,2021-22
1628988,Aaron Holiday,26.0,74.0,0.351,2021-22
1630174,Aaron Nesmith,28.0,98.0,0.286,2021-22
1630598,Aaron Wiggins,39.0,126.0,0.31,2021-22
1627846,Abdel Nader,4.0,11.0,0.364,2021-22
1630278,Ade Murkey,,,,2021-22
1629678,Admiral Schofield,24.0,71.0,0.338,2021-22
1629958,Ahmad Caver,,,,2021-22
201143,Al Horford,81.0,247.0,0.328,2021-22
202692,Alec Burks,100.0,239.0,0.418,2021-22
1630758,Aleem Ford,2.0,15.0,0.133,2021-22
1630197,Aleksej Pokusevski,52.0,168.0,0.31,2021-22
1627936,Alex Caruso,37.0,104.0,0.356,2021-22
203458,Alex Len,6.0,21.0,0.286,2021-22
1628035,Alfonzo McKinnie,9.0,25.0,0.36,2021-22
1628993,Alize Johnson,0.0,3.0,0.0,2021-22
1630578,Alperen Sengun,26.0,94.0,0.277,2021-22
1629599,Amir Coffey,81.0,208.0,0.389,2021-22
203083,Andre Drummond,0.0,0.0,,2021-22
2738,Andre Iguodala,15.0,59.0,0.254,2021-22
203952,Andrew Wiggins,128.0,312.0,0.41,2021-22
1629014,Anfernee Simons,108.0,226.0,0.478,2021-22
203076,Anthony Davis,11.0,63.0,0.175,2021-22
1630162,Anthony Edwards,92.0,223.0,0.413,2021-22
1630264,Anthony Gill,14.0,26.0,0.538,2021-22
1630237,Anthony Lamb,0.0,2.0,0.0,2021-22
1629717,Armoni Brooks,45.0,150.0,0.3,2021-22
1629083,Arnoldas Kulboka,0.0,1.0,0.0,2021-22
1630559,Austin Reaves,47.0,132.0,0.356,2021-22
203085,Austin Rivers,60.0,162.0,0.37,2021-22
202340,Avery Bradley,69.0,179.0,0.385,2021-22
1630245,Ayo Dosunmu,68.0,177.0,0.384,2021-22
1629168,BJ Johnson,4.0,9.0,0.444,2021-22
