PLAYER_ID,PLAYER_NAME,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,SEASON
201166,Aaron Brooks,35.0,82.0,0.427,2015-16
203932,Aaron Gordon,40.0,131.0,0.305,2015-16
1626151,Aaron Harrison,3.0,10.0,0.3,2015-16
203940,Adreian Payne,7.0,24.0,0.292,2015-16
201143,Al Horford,87.0,248.0,0.351,2015-16
2744,Al Jefferson,,,,2015-16
202329,Al-Farouq Aminu,118.0,325.0,0.363,2015-16
101187,Alan Anderson,11.0,32.0,0.344,2015-16
1626210,Alan Williams,,,,2015-16
202692,Alec Burks,19.0,47.0,0.404,2015-16
203458,Alex Len,1.0,6.0,0.167,2015-16
1627293,Alex Stepheson,,,,2015-16
201582,Alexis Ajinca,0.0,1.0,0.0,2015-16
203459,Allen Crabbe,108.0,263.0,0.411,2015-16
202087,Alonzo Gee,16.0,53.0,0.302,2015-16
2405,Amar'e Stoudemire,,,,2015-16
101161,Amir Johnson,9.0,37.0,0.243,2015-16
2760,Anderson Varejao,0.0,1.0,0.0,2015-16
203083,Andre Drummond,0.0,1.0,0.0,2015-16
2738,Andre Iguodala,48.0,118.0,0.407,2015-16
1889,Andre Miller,2.0,4.0,0.5,2015-16
203460,Andre Roberson,30.0,96.0,0.313,2015-16
200745,Andrea Bargnani,3.0,15.0,0.2,2015-16
101106,Andrew Bogut,0.0,0.0,,2015-16
202726,Andrew Goudelock,0.0,3.0,0.0,2015-16
203094,Andrew Nicholson,39.0,107.0,0.364,2015-16
203952,Andrew Wiggins,45.0,133.0,0.338,2015-16
203461,Anthony Bennett,3.0,13.0,0.231,2015-16
1626148,Anthony Brown,19.0,63.0,0.302,2015-16
203076,Anthony Davis,33.0,98.0,0.337,2015-16
201627,Anthony Morrow,68.0,179.0,0.38,2015-16
201229,Anthony Tolliver,96.0,258.0,0.372,2015-16
203462,Archie Goodwin,13.0,54.0,0.241,2015-16
203382,Aron Baynes,0.0,2.0,0.0,2015-16
201167,Arron Afflalo,76.0,196.0,0.388,2015-16
203085,Austin Rivers,46.0,121.0,0.38,2015-16
202340,Avery Bradley,114.0,311.0,0.367,2015-16
1626253,Axel Toupane,13.0,40.0,0.325,2015-16
203463,Ben McLemore,60.0,163.0,0.368,2015-16
2757,Beno Udrih,14.0,35.0,0.4,2015-16
202687,Bismack Biyombo,0.0,0.0,,2015-16
201933,Blake Griffin,4.0,10.0,0.4,2015-16
1626246,Boban Marjanovic,,,,2015-16
1626171,Bobby Portis,15.0,45.0,0.333,2015-16
202711,Bojan Bogdanovic,111.0,283.0,0.392,2015-16
2564,Boris Diaw,23.0,64.0,0.359,2015-16
203078,Bradley Beal,70.0,181.0,0.387,2015-16
201148,Brandan Wright,,,,2015-16
1626183,Branden Dawson,,,,2015-16
101138,Brandon Bass,0.0,0.0,,2015-16
201943,Brandon Jennings,29.0,71.0,0.408,2015-16
202688,Brandon Knight,57.0,154.0,0.37,2015-16
