PLAYER_ID,PLAYER_NAME,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,SEASON
1630639,A.J. Lawson,13.0,49.0,0.265,2023-24
1631260,AJ Green,59.0,140.0,0.421,2023-24
1631100,AJ Griffin,5.0,23.0,0.217,2023-24
203932,Aaron Gordon,28.0,94.0,0.298,2023-24
1628988,Aaron Holiday,66.0,158.0,0.418,2023-24
1630174,Aaron Nesmith,124.0,291.0,0.426,2023-24
1630598,Aaron Wiggins,54.0,112.0,0.482,2023-24
1641745,Adam Flagler,0.0,2.0,0.0,2023-24
1641766,Adama Sanogo,,,,2023-24
1629678,Admiral Schofield,5.0,14.0,0.357,2023-24
201143,Al Horford,103.0,240.0,0.429,2023-24
202692,Alec Burks,82.0,203.0,0.404,2023-24
1630197,Aleksej Pokusevski,15.0,46.0,0.326,2023-24
1627936,Alex Caruso,110.0,271.0,0.406,2023-24
1641788,Alex Fudge,1.0,5.0,0.2,2023-24
203458,Alex Len,0.0,3.0,0.0,2023-24
1631214,Alondes Williams,0.0,4.0,0.0,2023-24
1630578,Alperen Sengun,28.0,84.0,0.333,2023-24
1641735,Amari Bailey,1.0,7.0,0.143,2023-24
1641708,Amen Thompson,8.0,47.0,0.17,2023-24
1629599,Amir Coffey,64.0,163.0,0.393,2023-24
203083,Andre Drummond,0.0,2.0,0.0,2023-24
1641748,Andre Jackson Jr.,15.0,39.0,0.385,2023-24
1641847,Andrew Funk,0.0,3.0,0.0,2023-24
1629614,Andrew Nembhard,52.0,133.0,0.391,2023-24
203952,Andrew Wiggins,74.0,213.0,0.347,2023-24
1629014,Anfernee Simons,73.0,171.0,0.427,2023-24
1641710,Anthony Black,33.0,85.0,0.388,2023-24
203076,Anthony Davis,24.0,83.0,0.289,2023-24
1630162,Anthony Edwards,69.0,168.0,0.411,2023-24
1630264,Anthony Gill,8.0,38.0,0.211,2023-24
1629717,Armoni Brooks,10.0,26.0,0.385,2023-24
1630204,Ashton Hagans,8.0,23.0,0.348,2023-24
1641709,Ausar Thompson,19.0,100.0,0.19,2023-24
1630559,Austin Reaves,90.0,245.0,0.367,2023-24
1630245,Ayo Dosunmu,99.0,244.0,0.406,2023-24
1628389,Bam Adebayo,13.0,32.0,0.406,2023-24
1641767,Ben Sheppard,46.0,145.0,0.317,2023-24
1627732,Ben Simmons,,,,2023-24
1631097,Bennedict Mathurin,34.0,88.0,0.386,2023-24
1641731,Bilal Coulibaly,57.0,168.0,0.339,2023-24
202687,Bismack Biyombo,,,,2023-24
1631104,Blake Wesley,12.0,47.0,0.255,2023-24
1626246,Boban Marjanovic,0.0,0.0,,2023-24
1626171,Bobby Portis,96.0,239.0,0.402,2023-24
203992,Bogdan Bogdanović,181.0,483.0,0.375,2023-24
202711,Bojan Bogdanovic,99.0,243.0,0.407,2023-24
1629626,Bol Bol,17.0,39.0,0.436,2023-24
1630538,Bones Hyland,19.0,61.0,0.311,2023-24
203078,Bradley Beal,72.0,165.0,0.436,2023-24
1641764,Brandin Podziemski,57.0,159.0,0.358,2023-24
1630527,Brandon Boston,7.0,23.0,0.304,2023-24
1629634,Brandon Clarke,1.0,6.0,0.167,2023-24
1627742,Brandon Ingram,58.0,157.0,0.369,2023-24
1641706,Brandon Miller,144.0,376.0,0.383,2023-24
1630314,Brandon Williams,1.0,8.0,0.125,2023-24
1630296,Braxton Key,2.0,4.0,0.5,2023-24
1641729,Brice Sensabaugh,25.0,80.0,0.313,2023-24
201572,Brook Lopez,138.0,367.0,0.376,2023-24
1628971,Bruce Brown,45.0,136.0,0.331,2023-24
1628981,Bruno Fernando,0.0,4.0,0.0,2023-24
1631121,Bryce McGowens,30.0,91.0,0.33,2023-24
1631205,Buddy Boeheim,8.0,22.0,0.364,2023-24
1627741,Buddy Hield,165.0,395.0,0.418,2023-24
203468,CJ McCollum,135.0,315.0,0.429,2023-24
1630595,Cade Cunningham,76.0,205.0,0.371,2023-24
1631216,Caleb Houstan,71.0,188.0,0.378,2023-24
1628997,Caleb Martin,66.0,189.0,0.349,2023-24
1629629,Cam Reddish,33.0,102.0,0.324,2023-24
1630560,Cam Thomas,71.0,163.0,0.436,2023-24
1641715,Cam Whitmore,59.0,138.0,0.428,2023-24
1629661,Cameron Johnson,118.0,280.0,0.421,2023-24
1626166,Cameron Payne,58.0,159.0,0.365,2023-24
1627747,Caris LeVert,70.0,192.0,0.365,2023-24
1641717,Cason Wallace,91.0,206.0,0.442,2023-24
1626224,Cedi Osman,82.0,200.0,0.41,2023-24
1629646,Charles Bassey,0.0,0.0,,2023-24
1629718,Charlie Brown Jr.,2.0,6.0,0.333,2023-24
1631096,Chet Holmgren,124.0,322.0,0.385,2023-24
1629002,Chimezie Metu,24.0,81.0,0.296,2023-24
1628449,Chris Boucher,29.0,88.0,0.33,2023-24
1630537,Chris Duarte,31.0,95.0,0.326,2023-24
1641753,Chris Livingston,1.0,5.0,0.2,2023-24
101108,Chris Paul,47.0,111.0,0.423,2023-24
1631128,Christian Braun,46.0,122.0,0.377,2023-24
1626174,Christian Wood,33.0,105.0,0.314,2023-24
1629643,Chuma Okeke,21.0,70.0,0.3,2023-24
203991,Clint Capela,0.0,0.0,,2023-24
1629632,Coby White,145.0,397.0,0.365,2023-24
1628998,Cody Martin,17.0,65.0,0.262,2023-24
203469,Cody Zeller,1.0,3.0,0.333,2023-24
1641732,Colby Jones,2.0,20.0,0.1,2023-24
1630175,Cole Anthony,80.0,219.0,0.365,2023-24
1631306,Cole Swider,8.0,22.0,0.364,2023-24
1630658,Colin Castleton,,,,2023-24
1631221,Collin Gillespie,10.0,26.0,0.385,2023-24
1629012,Collin Sexton,80.0,179.0,0.447,2023-24
1630557,Corey Kispert,153.0,392.0,0.39,2023-24
202709,Cory Joseph,12.0,35.0,0.343,2023-24
1641854,Craig Porter Jr.,2.0,6.0,0.333,2023-24
1626156,D'Angelo Russell,135.0,314.0,0.43,2023-24
1641793,D'Moi Hodge,3.0,11.0,0.273,2023-24
1630618,D.J. Carton,1.0,4.0,0.25,2023-24
1628391,D.J. Wilson,2.0,2.0,1.0,2023-24
1629610,DaQuan Jeffries,2.0,8.0,0.25,2023-24
1630227,Daishen Nix,3.0,11.0,0.273,2023-24
1630625,Dalano Banton,44.0,135.0,0.326,2023-24
1631207,Dalen Terry,15.0,65.0,0.231,2023-24
1627745,Damian Jones,3.0,14.0,0.214,2023-24
203081,Damian Lillard,65.0,201.0,0.323,2023-24
1629655,Daniel Gafford,,,,2023-24
1628464,Daniel Theis,24.0,62.0,0.387,2023-24
201568,Danilo Gallinari,27.0,77.0,0.351,2023-24
201980,Danny Green,0.0,1.0,0.0,2023-24
203957,Danté Exum,50.0,99.0,0.505,2023-24
1627863,Danuel House Jr.,12.0,35.0,0.343,2023-24
203967,Dario Šarić,69.0,181.0,0.381,2023-24
1641727,Dariq Whitehead,0.0,2.0,0.0,2023-24
1629647,Darius Bazley,2.0,5.0,0.4,2023-24
1629636,Darius Garland,50.0,143.0,0.35,2023-24
1630561,David Duke Jr.,2.0,5.0,0.4,2023-24
1631223,David Roddy,46.0,146.0,0.315,2023-24
1630558,Davion Mitchell,46.0,124.0,0.371,2023-24
202722,Davis Bertans,66.0,168.0,0.393,2023-24
1630549,Day'Ron Sharpe,4.0,15.0,0.267,2023-24
1628368,De'Aaron Fox,90.0,230.0,0.391,2023-24
1629631,De'Andre Hunter,90.0,228.0,0.395,2023-24
1629001,De'Anthony Melton,53.0,150.0,0.353,2023-24
201599,DeAndre Jordan,,,,2023-24
1630610,DeJon Jarreau,4.0,10.0,0.4,2023-24
201942,DeMar DeRozan,60.0,174.0,0.345,2023-24
1629731,Dean Wade,73.0,193.0,0.378,2023-24
1629028,Deandre Ayton,1.0,9.0,0.111,2023-24
1627749,Dejounte Murray,112.0,286.0,0.392,2023-24
