player_id,season_year,pred_o,pred_d,pred_var_o,pred_var_d,filt_o,filt_d,filt_var_o,filt_var_d,player_name,prior_model,pred_total,filt_total
2,1996,1.5522546314618153,0.06005610937904288,9.0,9.0,2.3591271644363925,0.0625226053276972,1.8545138997104647,1.8545138997104647,Byron Scott,atomic_denominator,1.6123107408408581,2.4216497697640897
3,1996,0.18345072081492741,0.8711589167035414,9.0,9.0,-1.2269828849842157,2.4816763330833784,1.9770918214988138,1.9770918214988138,Grant Long,atomic_denominator,1.0546096375184688,1.2546934480991627
3,1997,-1.5644437942539549,2.4285881059826058,2.4770918214988136,2.4770918214988136,-2.2063010785655672,2.587636665802939,1.265589096106851,1.265589096106851,Grant Long,atomic_denominator,0.8641443117286509,0.3813355872373716
3,1998,-2.555680289687659,2.4647102731592927,1.765589096106851,1.765589096106851,-2.401566460392836,3.1189179625127776,1.017149273604632,1.017149273604632,Grant Long,atomic_denominator,-0.09097001652836623,0.7173515021199415
3,1999,-2.8837294483147,2.9369351133249686,1.517149273604632,1.517149273604632,-2.313804507016413,2.658691414784238,0.9775596245181476,0.9775596245181476,Grant Long,atomic_denominator,0.0532056650102688,0.34488690776782516
3,2000,-2.7846657926813854,2.5490144076507386,1.4775596245181477,1.4775596245181477,-2.552189834566568,2.656225368181846,0.8970824299357739,0.8970824299357739,Grant Long,atomic_denominator,-0.23565138503064675,0.10403553361527784
3,2001,-2.91192192474549,2.4610534270573616,1.3970824299357738,1.3970824299357738,-3.2000293284209014,1.583154547554604,0.8316493272769716,0.8316493272769716,Grant Long,atomic_denominator,-0.4508684976881283,-1.6168747808662973
3,2002,-3.7012903233194008,1.2962376964018612,1.3316493272769716,1.3316493272769716,-3.131248627890081,1.0573762711358194,0.9447534616400689,0.9447534616400689,Grant Long,atomic_denominator,-2.4050526269175396,-2.0738723567542614
7,1996,-1.539969707568544,1.287436115268348,9.0,9.0,-2.7747141764465115,1.90421655383371,2.3323611382635017,2.3323611382635017,Dan Schayes,atomic_denominator,-0.2525335923001959,-0.8704976226128016
7,1997,-3.3103244913788714,1.5100557792569016,2.8323611382635017,2.8323611382635017,-2.2511769308099905,1.8704480179483127,1.312723880103482,1.312723880103482,Dan Schayes,atomic_denominator,-1.8002687121219698,-0.38072891286167776
7,1998,-2.8934422329549654,1.4239636888584666,1.812723880103482,1.812723880103482,-2.6567476467697517,1.114703010059536,1.2251174225477215,1.2251174225477215,Dan Schayes,atomic_denominator,-1.4694785440964988,-1.5420446367102156
9,1996,-0.9455722102167721,-0.023078982984044816,9.0,9.0,-0.9059315095542635,-0.6806744199758803,2.4832479918025223,2.4832479918025223,Sedale Threatt,atomic_denominator,-0.9686511932008168,-1.5866059295301438
12,1998,-1.630012634398531,0.17858875336600216,9.0,9.0,-1.6697497915259183,0.17841431881733616,2.7305379956258298,2.7305379956258298,Chris King,atomic_denominator,-1.4514238810325288,-1.4913354727085821
15,1996,2.1822809325049812,0.08847996085072318,9.0,9.0,3.091581296194213,-0.5448305576411847,2.2122228384355282,2.2122228384355282,Eric Piatkowski,atomic_denominator,2.270760893355704,2.546750738553028
15,1997,3.1324295808798936,-0.439832754545369,2.7122228384355282,2.7122228384355282,3.1451853455456513,-0.4053483767750904,1.1984034009871998,1.1984034009871998,Eric Piatkowski,atomic_denominator,2.692596826334525,2.739836968770561
15,1998,3.180560636266559,-0.3677028109908115,1.6984034009871998,1.6984034009871998,2.7743744206955765,-0.7360894835192756,1.0097816931278294,1.0097816931278294,Eric Piatkowski,atomic_denominator,2.8128578252757475,2.038284937176301
15,1999,2.7312895045479837,-0.7043676298223516,1.5097816931278294,1.5097816931278294,2.0932440998752453,-1.0913916310548863,0.8915184412316882,0.8915184412316882,Eric Piatkowski,atomic_denominator,2.026921874725632,1.001852468820359
15,2000,1.8876421252515114,-1.1862237697925326,1.391518441231688,1.391518441231688,2.729126506457133,-1.4913040870575374,0.8092172273981936,0.8092172273981936,Eric Piatkowski,atomic_denominator,0.7014183554589788,1.2378224193995957
15,2001,2.422000234789434,-1.558178482365396,1.3092172273981935,1.3092172273981935,2.2385938557223817,-1.296222257976932,0.8150046578443186,0.8150046578443186,Eric Piatkowski,atomic_denominator,0.8638217524240379,0.9423715977454497
15,2002,1.88921464460029,-1.4191486506205784,1.3150046578443186,1.3150046578443186,2.3297513507010175,-1.0069963681925147,0.8506779802307206,0.8506779802307206,Eric Piatkowski,atomic_denominator,0.4700659939797116,1.3227549825085028
15,2003,1.949994295251512,-1.2619233457702812,1.3506779802307207,1.3506779802307207,1.4863674209392068,-0.86380508870999,0.9239525769362945,0.9239525769362945,Eric Piatkowski,atomic_denominator,0.6880709494812307,0.6225623322292169
