group,alpha,dev_same,dev_next,test_same,test_next
atomic_only,0.1,0.6045485269377914,0.516091198928242,0.5580261392431017,0.4670416702848504
role_load,1.0,0.6118849710845488,0.5209029252469659,0.5575715732607612,0.4612649909516667
efficiency,1.0,0.6035389903827201,0.5152647747429387,0.5577633417689064,0.4656795987916825
shot_style,0.1,0.6075725432974752,0.5182490168738372,0.5589400325657872,0.46377034796809696
missing_events,1.0,0.6053869925826931,0.5179336479454273,0.5600604606285896,0.4708397709670189
compact,10.0,0.6114419929333775,0.5228074777656602,0.5572786903359408,0.4602850077250255
all_residual,10.0,0.6113097228190562,0.5228901163778249,0.5593948988696258,0.4640009856671465
