season_year,games,grade_a,score,time,minutes,plus_minus,median_missing_seconds
1996,1189,0.6787216148023549,0.8200168208578638,0.8107653490328006,0.8216989066442388,0.6921783010933558,0.0
1997,1187,0.628475147430497,0.7893850042123,0.7784330244313395,0.802021903959562,0.6419545071609098,0.0
1998,725,0.6358620689655172,0.7393103448275862,0.7337931034482759,0.7544827586206897,0.6455172413793103,0.0
1999,1189,0.6770395290159799,0.7863751051303617,0.7737594617325484,0.7973086627417998,0.6938603868797308,0.0
2000,1189,0.68040370058873,0.7914213624894869,0.7796467619848613,0.7973086627417998,0.6938603868797308,0.0
2001,1189,0.776282590412111,0.8889823380992431,0.8738435660218671,0.8906644238856182,0.7872161480235492,0.0
2002,1189,0.6930193439865433,0.8015138772077376,0.7914213624894869,0.8074011774600505,0.704793944491169,0.0
2003,1189,0.6223717409587889,0.7081581160639192,0.7014297729184188,0.7165685449957948,0.631623212783852,0.0
2004,1229,0.7233523189585028,0.8340113913751017,0.8209926769731489,0.8510984540276648,0.7371847030105777,0.0
2005,1230,0.6577235772357723,0.7398373983739838,0.7308943089430894,0.7699186991869919,0.6723577235772358,0.0
2006,1229,0.4898291293734744,0.563873067534581,0.5557363710333605,0.5931651749389748,0.5085435313262815,0.0
2007,1229,0.5785191212367778,0.6476810414971521,0.6362896663954435,0.6753458096013019,0.5947925142392189,0.0
2008,1230,0.6593495934959349,0.7544715447154472,0.740650406504065,0.7772357723577236,0.675609756097561,0.0
2009,1229,0.7078925956061839,0.7957689178193653,0.7851912123677787,0.8169243287225386,0.7176566314076485,0.0
2010,1230,0.5650406504065041,0.6504065040650406,0.6333333333333333,0.6821138211382114,0.5813008130081301,0.0
2011,990,0.6424242424242425,0.695959595959596,0.6858585858585858,0.7161616161616161,0.6555555555555556,0.0
2012,1229,0.6143205858421481,0.6916192026037429,0.6851098454027664,0.7013832384052074,0.6216436126932465,0.0
2013,1230,0.7780487804878049,0.8707317073170732,0.8634146341463415,0.883739837398374,0.7853658536585366,0.0
2014,1230,0.5455284552845528,0.6170731707317073,0.6105691056910569,0.6430894308943089,0.5544715447154471,0.0
2015,1229,0.6078112286411717,0.6965012205044752,0.6834825061025224,0.7363710333604556,0.6216436126932465,0.0
2016,1230,0.6577235772357723,0.751219512195122,0.7373983739837399,0.7723577235772358,0.6682926829268293,0.0
2017,1230,0.6252032520325204,0.7430894308943089,0.7300813008130081,0.7691056910569106,0.6333333333333333,0.0
2018,1230,0.7195121951219512,0.8154471544715447,0.8040650406504065,0.8292682926829268,0.7284552845528456,0.0
2019,1058,0.723062381852552,0.8279773156899811,0.8213610586011342,0.8534971644612477,0.7306238185255198,0.0
2020,1080,0.7268518518518519,0.8314814814814815,0.8240740740740741,0.8444444444444444,0.7324074074074074,0.0
2021,1230,0.6447154471544716,0.7382113821138211,0.7284552845528456,0.7544715447154472,0.6552845528455284,0.0
2022,1230,0.608130081300813,0.6788617886178862,0.675609756097561,0.691869918699187,0.6130081300813008,0.0
2023,1229,0.5109845402766476,0.5850284784377543,0.5663140764849471,0.5980471928397071,0.531326281529699,0.0
2024,1230,0.6398373983739838,0.7447154471544716,0.7365853658536585,0.7699186991869919,0.651219512195122,0.0
2025,1215,0.18106995884773663,0.7102880658436214,0.908641975308642,0.928395061728395,0.18271604938271604,0.0
