game_id,possessions_seen,possessions_attached,n_away,n_home,pts_away,pts_home,expected_home,expected_away,attach_rate,home_point_error,away_point_error,possession_gap,trusted
21901277,194,194,97.0,97.0,101.0,108.0,108.00004224872141,101.00001624911722,1.0,-4.224872141378455e-05,-1.624911722331035e-05,0.0,True
21901278,205,205,102.0,103.0,107.0,118.0,118.00003412338226,107.00001108111341,1.0,-3.4123382263828717e-05,-1.108111341352469e-05,1.0,True
21901279,207,207,104.0,103.0,122.0,100.0,100.0,122.0,1.0,0.0,0.0,1.0,True
21901280,199,199,100.0,99.0,122.0,117.0,117.0,122.0,1.0,0.0,0.0,1.0,True
21901281,239,239,120.0,119.0,132.0,134.0,134.0,132.0,1.0,0.0,0.0,1.0,True
21901282,202,202,101.0,101.0,111.0,116.0,116.0,111.0,1.0,0.0,0.0,0.0,True
21901283,198,198,99.0,99.0,119.0,112.0,112.00003633804253,119.0000471636179,1.0,-3.633804253411199e-05,-4.716361789292023e-05,0.0,True
21901284,229,229,115.0,114.0,132.0,136.0,136.00005093446518,132.00000904077856,1.0,-5.093446517889788e-05,-9.040778564894936e-06,1.0,True
21901285,197,197,99.0,98.0,103.0,121.0,120.99999906832811,103.00003273127219,1.0,9.316718916352329e-07,-3.2731272185060334e-05,1.0,True
21901286,214,214,107.0,107.0,99.0,108.0,108.0,99.0,1.0,0.0,0.0,0.0,True
21901287,212,212,106.0,106.0,122.0,113.0,113.00007359254073,122.00010900534357,1.0,-7.359254072980548e-05,-0.00010900534357460856,0.0,True
21901288,222,222,112.0,110.0,119.0,122.0,122.0,119.0,1.0,0.0,0.0,2.0,True
21901289,203,203,101.0,102.0,121.0,124.0,124.00002187924758,121.00002237690919,1.0,-2.1879247583456163e-05,-2.2376909186050398e-05,1.0,True
21901290,221,221,111.0,110.0,129.0,112.0,112.0,129.0,1.0,0.0,0.0,1.0,True
21901291,197,197,99.0,98.0,129.0,120.0,120.0,129.0,1.0,0.0,0.0,1.0,True
21901292,216,216,108.0,108.0,101.0,128.0,128.00007969045407,101.0000271686789,1.0,-7.969045407207886e-05,-2.7168678897737664e-05,0.0,True
21901293,184,184,92.0,92.0,122.0,114.0,114.00012769058324,121.99997019205797,1.0,-0.0001276905832412467,2.9807942027559875e-05,0.0,True
21901294,210,210,105.0,105.0,114.0,106.0,106.0,114.0,1.0,0.0,0.0,0.0,True
21901295,206,206,103.0,103.0,92.0,114.0,114.0,92.0,1.0,0.0,0.0,0.0,True
21901296,180,180,90.0,90.0,121.0,124.0,124.0,121.0,1.0,0.0,0.0,0.0,True
21901297,201,201,101.0,100.0,108.0,96.0,96.0,108.0,1.0,0.0,0.0,1.0,True
21901298,225,225,112.0,113.0,105.0,123.0,123.0,105.0,1.0,0.0,0.0,1.0,True
21901299,182,182,91.0,91.0,130.0,117.0,117.00003021809476,130.00005392717796,1.0,-3.021809476422277e-05,-5.392717795871249e-05,0.0,True
21901300,212,212,107.0,105.0,134.0,131.0,131.0,134.0,1.0,0.0,0.0,2.0,True
21901301,191,191,95.0,96.0,122.0,107.0,107.0,122.0,1.0,0.0,0.0,1.0,True
21901302,204,204,102.0,102.0,106.0,112.0,112.0,106.0,1.0,0.0,0.0,0.0,True
21901303,210,210,105.0,105.0,126.0,113.0,112.99999537670423,126.00007302785275,1.0,4.623295765782132e-06,-7.3027852749874e-05,0.0,True
21901304,217,217,108.0,109.0,108.0,104.0,104.0,108.0,1.0,0.0,0.0,1.0,True
21901305,209,209,105.0,104.0,125.0,121.0,121.00004759912672,125.00002492174751,1.0,-4.7599126716590945e-05,-2.492174751012044e-05,1.0,True
21901306,199,199,100.0,99.0,115.0,116.0,116.0,115.0,1.0,0.0,0.0,1.0,True
21901307,192,192,96.0,96.0,124.0,111.0,111.0,124.0,1.0,0.0,0.0,0.0,True
21901308,202,202,101.0,98.0,96.0,90.0,90.0,96.0,1.0,0.0,0.0,3.0,True
21901309,219,219,110.0,107.0,134.0,133.0,133.0,134.0,1.0,0.0,0.0,3.0,True
21901310,216,216,106.0,106.0,136.0,122.0,122.0,136.0,1.0,0.0,0.0,0.0,True
21901311,226,226,113.0,111.0,106.0,119.0,119.0,106.0,1.0,0.0,0.0,2.0,True
21901312,208,208,103.0,102.0,127.0,133.0,133.0,127.0,1.0,0.0,0.0,1.0,True
21901313,196,196,97.0,97.0,102.0,128.0,128.00031761520515,101.99997932176275,1.0,-0.0003176152051480585,2.067823724871687e-05,0.0,True
21901314,205,205,101.0,101.0,112.0,118.0,118.0,112.0,1.0,0.0,0.0,0.0,True
21901315,210,210,106.0,104.0,134.0,96.0,96.0,134.0,1.0,0.0,0.0,2.0,True
21901316,207,207,104.0,100.0,92.0,109.0,109.0,92.0,1.0,0.0,0.0,4.0,True
21901317,239,239,120.0,112.0,103.0,107.0,107.0,103.0,1.0,0.0,0.0,8.0,False
21901318,207,207,103.0,102.0,109.0,117.0,117.0,109.0,1.0,0.0,0.0,1.0,True
22000001,223,223,112.0,111.0,99.0,125.0,125.0,99.0,1.0,0.0,0.0,1.0,True
22000002,206,206,103.0,103.0,116.0,109.0,109.0,116.0,1.0,0.0,0.0,0.0,True
22000003,199,199,100.0,99.0,121.0,122.0,122.00000782050424,121.00004267460365,1.0,-7.820504237088244e-06,-4.267460364815179e-05,1.0,True
22000004,205,205,102.0,103.0,102.0,106.0,106.0,102.0,1.0,0.0,0.0,1.0,True
22000005,190,190,96.0,94.0,98.0,111.0,111.0,98.0,1.0,0.0,0.0,2.0,True
22000006,218,218,109.0,109.0,99.0,138.0,138.0,99.0,1.0,0.0,0.0,0.0,True
22000007,195,195,98.0,97.0,123.0,95.0,94.99999194936068,123.00010027570835,1.0,8.05063932318717e-06,-0.00010027570834836297,1.0,True
22000008,202,202,101.0,101.0,115.0,138.0,138.0,115.0,1.0,0.0,0.0,0.0,True
22000009,191,191,95.0,96.0,121.0,108.0,108.0,121.0,1.0,0.0,0.0,1.0,True
22000010,203,203,102.0,101.0,114.0,121.0,121.00007185041507,113.99997197392615,1.0,-7.185041506829748e-05,2.8026073849218847e-05,1.0,True
22000011,212,212,105.0,107.0,107.0,121.0,121.0,107.0,1.0,0.0,0.0,2.0,True
22000012,211,211,105.0,106.0,107.0,113.0,113.00001583790392,107.00002351828866,1.0,-1.5837903916349205e-05,-2.3518288656987352e-05,1.0,True
22000013,213,213,107.0,106.0,107.0,113.0,113.0,107.0,1.0,0.0,0.0,1.0,True
22000014,207,207,103.0,104.0,113.0,99.0,99.0,113.0,1.0,0.0,0.0,1.0,True
22000015,211,211,105.0,106.0,124.0,104.0,104.00006048724714,124.00004905801597,1.0,-6.04872471399176e-05,-4.90580159748788e-05,1.0,True
22000016,203,203,102.0,101.0,114.0,112.0,112.00002998811674,114.00001248682743,1.0,-2.9988116736490156e-05,-1.2486827429825098e-05,1.0,True
22000017,216,216,109.0,107.0,131.0,119.0,119.0,131.0,1.0,0.0,0.0,2.0,True
22000018,202,202,101.0,101.0,101.0,111.0,110.99999267133816,101.0000178483884,1.0,7.328661837391337e-06,-1.7848388395691472e-05,0.0,True
22000019,224,224,113.0,111.0,124.0,122.0,122.0,124.0,1.0,0.0,0.0,2.0,True
22000020,198,198,99.0,99.0,120.0,100.0,100.0,120.0,1.0,0.0,0.0,0.0,True
22000021,207,207,104.0,103.0,122.0,112.0,112.00008349464788,122.00009755232252,1.0,-8.349464788182104e-05,-9.755232251507095e-05,1.0,True
22000022,209,209,104.0,105.0,109.0,107.0,107.00002758863471,109.00004558030038,1.0,-2.7588634708308746e-05,-4.5580300380265726e-05,1.0,True
22000023,246,246,123.0,123.0,128.0,119.0,119.00001948460309,128.00007916295823,1.0,-1.948460308653921e-05,-7.916295822951724e-05,0.0,True
22000024,219,219,109.0,110.0,130.0,120.0,120.0,130.0,1.0,0.0,0.0,1.0,True
22000025,189,189,95.0,94.0,109.0,89.0,89.0,109.0,1.0,0.0,0.0,1.0,True
22000026,214,214,107.0,107.0,125.0,106.0,106.0,125.0,1.0,0.0,0.0,0.0,True
22000027,208,208,104.0,104.0,114.0,119.0,119.00000813415387,114.00004856276796,1.0,-8.134153873129435e-06,-4.856276795806025e-05,0.0,True
22000028,207,207,103.0,104.0,116.0,111.0,111.00005727347074,115.99998628223523,1.0,-5.72734707446898e-05,1.3717764772991359e-05,1.0,True
22000029,214,214,107.0,107.0,126.0,128.0,128.00009258791096,126.00003459234503,1.0,-9.258791095589913e-05,-3.4592345031114746e-05,0.0,True
22000030,204,204,102.0,102.0,103.0,106.0,106.00010997363795,103.00001413696786,1.0,-0.00010997363794729154,-1.4136967863009886e-05,0.0,True
22000031,187,187,94.0,93.0,124.0,73.0,73.0,124.0,1.0,0.0,0.0,1.0,True
22000032,207,207,104.0,103.0,104.0,106.0,106.00028066315089,103.9998028509329,1.0,-0.0002806631508889268,0.00019714906710532887,1.0,True
22000033,202,202,100.0,102.0,120.0,113.0,113.0,120.0,1.0,0.0,0.0,2.0,True
22000034,202,202,100.0,102.0,95.0,98.0,98.0,95.0,1.0,0.0,0.0,2.0,True
22000035,197,197,99.0,98.0,94.0,118.0,118.00004562427274,94.00003065649274,1.0,-4.562427274379388e-05,-3.0656492739922214e-05,1.0,True
22000036,197,197,99.0,98.0,110.0,130.0,130.0,110.0,1.0,0.0,0.0,1.0,True
22000037,203,203,102.0,101.0,107.0,108.0,108.0,107.0,1.0,0.0,0.0,1.0,True
22000038,229,229,114.0,115.0,129.0,128.0,128.0,129.0,1.0,0.0,0.0,1.0,True
22000039,193,193,96.0,97.0,116.0,100.0,100.0,116.0,1.0,0.0,0.0,1.0,True
22000040,211,211,106.0,105.0,91.0,127.0,127.0,91.0,1.0,0.0,0.0,1.0,True
22000041,198,198,99.0,99.0,120.0,128.0,128.0000033187289,120.00002211376105,1.0,-3.3187288863700815e-06,-2.2113761048103697e-05,0.0,True
22000042,220,220,110.0,110.0,116.0,111.0,111.00004580636553,116.00001967170452,1.0,-4.580636553441764e-05,-1.9671704521329048e-05,0.0,True
22000043,198,198,99.0,99.0,110.0,109.0,109.0,110.0,1.0,0.0,0.0,0.0,True
22000044,205,205,103.0,102.0,111.0,124.0,124.00014566495358,111.00015783803934,1.0,-0.0001456649535782617,-0.00015783803934255047,1.0,True
22000045,197,197,99.0,98.0,115.0,107.0,107.0,115.0,1.0,0.0,0.0,1.0,True
22000046,197,197,99.0,98.0,95.0,86.0,86.0,95.0,1.0,0.0,0.0,1.0,True
22000047,198,198,99.0,99.0,116.0,106.0,106.00007364563349,115.99998096065924,1.0,-7.364563349199216e-05,1.9039340756421552e-05,0.0,True
22000048,201,201,100.0,101.0,116.0,111.0,111.0,116.0,1.0,0.0,0.0,1.0,True
22000049,206,206,103.0,103.0,93.0,100.0,100.00003793121009,93.00004212619513,1.0,-3.7931210087549516e-05,-4.212619512600213e-05,0.0,True
22000050,216,216,107.0,109.0,115.0,107.0,107.0,115.0,1.0,0.0,0.0,2.0,True
22000051,204,204,103.0,101.0,144.0,97.0,97.0,144.0,1.0,0.0,0.0,2.0,True
22000052,205,205,103.0,102.0,118.0,107.0,107.0,118.0,1.0,0.0,0.0,1.0,True
22000053,184,184,92.0,92.0,86.0,111.0,111.0,86.0,1.0,0.0,0.0,0.0,True
22000054,195,195,97.0,98.0,101.0,124.0,124.0,101.0,1.0,0.0,0.0,1.0,True
22000055,201,201,100.0,101.0,115.0,125.0,125.0,115.0,1.0,0.0,0.0,1.0,True
22000056,204,204,103.0,101.0,107.0,126.0,126.0,107.0,1.0,0.0,0.0,2.0,True
22000057,215,215,108.0,107.0,141.0,145.0,145.0,141.0,1.0,0.0,0.0,1.0,True
22000058,209,209,104.0,105.0,108.0,119.0,119.00006853932793,108.0000098864902,1.0,-6.853932792694195e-05,-9.886490204280562e-06,1.0,True
22000059,202,202,101.0,101.0,118.0,99.0,99.0,118.0,1.0,0.0,0.0,0.0,True
22000060,202,202,100.0,102.0,121.0,107.0,107.0,121.0,1.0,0.0,0.0,2.0,True
22000061,205,205,102.0,103.0,105.0,128.0,128.0,105.0,1.0,0.0,0.0,1.0,True
22000062,195,195,97.0,98.0,99.0,119.0,119.0,99.0,1.0,0.0,0.0,1.0,True
22000063,206,206,103.0,103.0,133.0,130.0,130.00000750152515,133.00005408771352,1.0,-7.501525146835775e-06,-5.408771352222175e-05,0.0,True
22000064,205,205,103.0,102.0,116.0,92.0,92.0,116.0,1.0,0.0,0.0,1.0,True
22000065,213,213,106.0,107.0,119.0,122.0,122.0,119.0,1.0,0.0,0.0,1.0,True
22000066,202,202,101.0,101.0,83.0,100.0,100.0,83.0,1.0,0.0,0.0,0.0,True
22000067,195,195,98.0,97.0,113.0,80.0,80.0,113.0,1.0,0.0,0.0,1.0,True
22000068,191,191,96.0,95.0,106.0,95.0,95.0,106.0,1.0,0.0,0.0,1.0,True
22000069,201,201,101.0,100.0,108.0,93.0,93.00002869204255,108.0000395915614,1.0,-2.8692042548073005e-05,-3.9591561403540254e-05,1.0,True
22000070,204,204,103.0,101.0,93.0,96.0,96.00004706779754,93.00007137299295,1.0,-4.706779753860246e-05,-7.137299294868171e-05,2.0,True
22000071,196,196,97.0,99.0,83.0,93.0,93.0,83.0,1.0,0.0,0.0,2.0,True
22000072,197,197,98.0,99.0,114.0,96.0,96.0,114.0,1.0,0.0,0.0,1.0,True
22000073,219,219,110.0,109.0,96.0,126.0,126.0,96.0,1.0,0.0,0.0,1.0,True
22000074,207,207,103.0,104.0,130.0,109.0,109.0,130.0,1.0,0.0,0.0,1.0,True
22000075,202,202,102.0,100.0,109.0,103.0,103.0,109.0,1.0,0.0,0.0,2.0,True
22000076,183,183,91.0,92.0,106.0,103.0,103.0,106.0,1.0,0.0,0.0,1.0,True
22000077,183,183,91.0,92.0,100.0,106.0,106.0,100.0,1.0,0.0,0.0,1.0,True
22000078,203,203,101.0,102.0,123.0,98.0,98.0,123.0,1.0,0.0,0.0,1.0,True
22000079,193,193,96.0,97.0,94.0,102.0,102.0,94.0,1.0,0.0,0.0,1.0,True
22000080,184,184,91.0,93.0,106.0,102.0,102.00000836984535,106.00008632679157,1.0,-8.369845346578586e-06,-8.632679157472012e-05,2.0,True
22000081,199,199,100.0,99.0,108.0,99.0,99.0,108.0,1.0,0.0,0.0,1.0,True
22000082,204,204,102.0,102.0,112.0,127.0,127.00002450892784,112.00003128362576,1.0,-2.4508927836564e-05,-3.128362575921528e-05,0.0,True
22000083,193,193,96.0,97.0,96.0,91.0,91.0,96.0,1.0,0.0,0.0,1.0,True
22000084,197,197,99.0,98.0,116.0,120.0,120.0,116.0,1.0,0.0,0.0,1.0,True
22000085,191,191,95.0,96.0,122.0,120.0,120.00000387788491,122.0000375486601,1.0,-3.877884907410589e-06,-3.7548660102970643e-05,1.0,True
22000086,217,217,109.0,108.0,123.0,122.0,122.0,123.0,1.0,0.0,0.0,1.0,True
22000087,189,189,94.0,95.0,108.0,94.0,94.00006988690379,108.00000099889854,1.0,-6.98869037876193e-05,-9.988985425479768e-07,1.0,True
22000088,193,193,97.0,96.0,124.0,109.0,109.0,124.0,1.0,0.0,0.0,1.0,True
22000089,212,212,106.0,106.0,130.0,109.0,109.0,130.0,1.0,0.0,0.0,0.0,True
22000090,202,202,101.0,101.0,108.0,118.0,118.0,108.0,1.0,0.0,0.0,0.0,True
22000091,184,184,92.0,92.0,112.0,107.0,107.0,112.0,1.0,0.0,0.0,0.0,True
22000092,211,211,106.0,105.0,122.0,137.0,137.0,122.0,1.0,0.0,0.0,1.0,True
22000093,186,186,93.0,93.0,83.0,103.0,103.0,83.0,1.0,0.0,0.0,0.0,True
22000094,204,204,103.0,101.0,101.0,118.0,117.99998106940022,101.00002891052152,1.0,1.8930599779309887e-05,-2.89105215216523e-05,2.0,True
22000095,197,197,99.0,98.0,113.0,108.0,108.0,113.0,1.0,0.0,0.0,1.0,True
22000096,200,200,100.0,100.0,90.0,118.0,118.0,90.0,1.0,0.0,0.0,0.0,True
22000097,209,209,105.0,104.0,126.0,114.0,114.0,126.0,1.0,0.0,0.0,1.0,True
22000098,190,190,95.0,95.0,113.0,100.0,100.0,113.0,1.0,0.0,0.0,0.0,True
22000099,200,200,100.0,100.0,115.0,125.0,125.00006587740049,114.99999928060434,1.0,-6.587740048757951e-05,7.193956577111749e-07,0.0,True
22000100,215,215,108.0,107.0,118.0,116.0,116.00001829734776,118.00005658033281,1.0,-1.8297347764928418e-05,-5.6580332810085565e-05,1.0,True
22000101,218,218,109.0,109.0,106.0,137.0,137.00009486818652,106.00002295194955,1.0,-9.486818652248985e-05,-2.2951949546268224e-05,0.0,True
22000102,203,203,101.0,102.0,96.0,130.0,130.0000177696077,96.00007876844059,1.0,-1.7769607694617662e-05,-7.876844058785082e-05,1.0,True
22000103,191,191,96.0,95.0,94.0,92.0,92.0,94.0,1.0,0.0,0.0,1.0,True
22000104,207,207,104.0,103.0,116.0,123.0,123.00009594823597,115.99997155777751,1.0,-9.594823596614788e-05,2.8442222486546598e-05,1.0,True
22000105,195,195,97.0,98.0,116.0,113.0,113.0,116.0,1.0,0.0,0.0,1.0,True
22000106,199,199,100.0,99.0,111.0,108.0,108.0,111.0,1.0,0.0,0.0,1.0,True
22000107,200,200,100.0,100.0,107.0,114.0,114.0,107.0,1.0,0.0,0.0,0.0,True
22000108,187,187,94.0,93.0,94.0,105.0,105.0,94.0,1.0,0.0,0.0,1.0,True
22000109,220,220,110.0,110.0,136.0,141.0,141.000022726933,136.00001137106648,1.0,-2.2726932996874893e-05,-1.1371066477749991e-05,0.0,True
22000110,203,203,102.0,101.0,102.0,94.0,94.00011758421506,102.00002860614177,1.0,-0.00011758421506158356,-2.860614176825038e-05,1.0,True
22000111,185,185,93.0,92.0,107.0,105.0,105.0,107.0,1.0,0.0,0.0,1.0,True
