game_id,date,home_id,away_id,stint_count,first_elapsed,last_elapsed,covered_seconds,reconstructed_home_points,reconstructed_away_points,incomplete_stints,official_home_points,official_away_points,official_home_id,official_away_id,max_period,expected_seconds,max_player_seconds_error,mean_player_seconds_error,max_player_pm_error,extra_reconstructed_players,missing_reconstructed_players,season_year,score_error,missing_lineup_seconds,pass_teams,pass_score,pass_time,pass_lineups,pass_player_minutes,pass_player_pm,canonical_grade_a,failure_reasons
22501104,2026-03-31,1610612746,1610612757,26,0,2880,2656.0,98.0,99.0,0,104.0,114.0,1610612746,1610612757,4,2880,496.0000000000002,134.66666666666666,9.0,1,0,2025,21.0,224.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500777,2026-02-11,1610612753,1610612749,26,0,2880,3116.0,115.0,130.0,0,108.0,116.0,1610612753,1610612749,4,2880,419.0,136.3,12.0,0,0,2025,21.0,-236.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500521,2026-01-07,1610612751,1610612753,29,0,3180,3480.0,113.0,115.0,0,103.0,104.0,1610612751,1610612753,5,3180,744.2000000000003,238.92000000000007,5.0,0,0,2025,21.0,-300.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500805,2026-02-20,1610612737,1610612748,25,0,2880,3043.0,105.0,140.0,0,97.0,128.0,1610612737,1610612748,4,2880,163.0,67.91666666666667,11.0,0,0,2025,20.0,-163.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500628,2026-01-22,1610612755,1610612745,29,0,3180,3480.0,141.0,129.0,0,128.0,122.0,1610612755,1610612745,5,3180,300.0,166.6777777777778,12.0,0,0,2025,20.0,-300.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500779,2026-02-11,1610612751,1610612754,29,0,2880,3185.0,118.0,127.0,0,110.0,115.0,1610612751,1610612754,4,2880,387.5999999999999,169.26315789473685,11.0,0,0,2025,20.0,-305.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500550,2026-01-11,1610612761,1610612755,35,0,3180,3491.3,127.0,123.0,0,116.0,115.0,1610612761,1610612755,5,3180,311.5,148.26666666666674,9.0,0,0,2025,19.0,-311.3000000000002,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500192,2025-11-09,1610612752,1610612751,30,0,2880,3193.0,145.0,104.0,0,134.0,98.0,1610612752,1610612751,4,2880,313.0,120.46153846153847,7.0,0,0,2025,17.0,-313.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500485,2026-01-02,1610612747,1610612763,33,0,2880,2997.0,135.0,130.0,0,128.0,121.0,1610612747,1610612763,4,2880,320.0,152.8421052631579,9.0,0,0,2025,16.0,-117.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500886,2026-03-03,1610612748,1610612751,28,0,2880,3137.0,135.0,103.0,0,124.0,98.0,1610612748,1610612751,4,2880,257.0,107.08333333333333,7.0,0,0,2025,16.0,-257.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500603,2026-01-18,1610612741,1610612751,31,0,2880,3046.0,131.0,110.0,0,124.0,102.0,1610612741,1610612751,4,2880,166.0,75.45454545454545,6.0,0,0,2025,15.0,-166.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500297,2025-11-29,1610612749,1610612751,29,0,2880,3058.0,120.0,110.0,0,116.0,99.0,1610612749,1610612751,4,2880,242.0,106.76923076923077,8.0,0,0,2025,15.0,-178.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500583,2026-01-15,1610612742,1610612762,24,0,2880,3091.0,151.0,130.0,0,144.0,122.0,1610612742,1610612762,4,2880,211.0,111.05263157894737,8.0,0,0,2025,15.0,-211.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500162,2025-11-03,1610612743,1610612758,21,0,2880,3143.0,136.0,133.0,0,130.0,124.0,1610612743,1610612758,4,2880,413.0,174.7473684210526,10.0,0,0,2025,15.0,-263.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500963,2026-03-13,1610612761,1610612756,40,0,2880,2999.4,129.0,108.0,0,122.0,115.0,1610612761,1610612756,4,2880,409.0,175.89999999999998,17.0,0,1,2025,14.0,-119.40000000000009,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500717,2026-02-03,1610612754,1610612762,26,0,2880,3060.0,131.0,136.0,0,122.0,131.0,1610612754,1610612762,4,2880,180.0,112.5,6.0,0,0,2025,14.0,-180.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500839,2026-02-24,1610612756,1610612738,29,0,2880,3116.0,92.0,100.0,0,81.0,97.0,1610612756,1610612738,4,2880,236.29999999999995,107.90833333333332,10.0,0,0,2025,14.0,-236.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500694,2026-01-30,1610612762,1610612751,29,0,2880,3040.0,105.0,115.0,0,99.0,109.0,1610612762,1610612751,4,2880,176.0,97.60000000000001,10.0,0,0,2025,12.0,-160.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500339,2025-12-05,1610612753,1610612748,31,0,2880,3061.0,110.0,113.0,0,106.0,105.0,1610612753,1610612748,4,2880,181.0,95.26315789473684,7.0,0,0,2025,12.0,-181.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500837,2026-02-24,1610612749,1610612748,31,0,2880,3055.0,138.0,118.0,0,128.0,117.0,1610612749,1610612748,4,2880,282.0,103.9,15.0,0,0,2025,11.0,-175.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500159,2025-11-03,1610612752,1610612764,29,0,2880,3097.0,120.0,112.0,0,119.0,102.0,1610612752,1610612764,4,2880,217.0,77.52857142857142,10.0,0,0,2025,11.0,-217.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500446,2025-12-28,1610612747,1610612758,31,0,2880,3071.0,130.0,106.0,0,125.0,101.0,1610612747,1610612758,4,2880,326.0,94.78260869565217,6.0,0,0,2025,10.0,-191.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500447,2025-12-29,1610612766,1610612749,37,0,2880,3028.0,117.0,128.0,0,113.0,123.0,1610612766,1610612749,4,2880,148.20000000000027,70.55238095238096,7.0,0,0,2025,9.0,-148.0,True,False,False,True,False,False,False,score|time|minutes|plus_minus
22500983,2026-03-16,1610612737,1610612753,33,0,2880,2738.8,122.0,107.0,0,124.0,112.0,1610612737,1610612753,4,2880,141.20000000000005,61.391304347826036,4.0,0,0,2025,7.0,141.19999999999982,True,False,False,True,False,False,False,score|time|minutes|plus_minus
