diagnostic,alpha,dev_same,dev_next,test_same,test_next
fouls_drawn_only,1.0,0.6050166516074276,0.5172881601419861,0.559437838384676,0.4706723824896482
blocked_only,1.0,0.6049454054171575,0.5168442566046388,0.5589104557417298,0.4676046353008267
both,1.0,0.6053869925826931,0.5179336479454273,0.5600604606285896,0.4708397709670189
