prediction_season,feature,coef_per_training_sd,alpha
2004,rim_ast_m_75,0.432959030893632,10.0
2004,rim_unast_m_75,0.5260258184198664,10.0
2004,rim_miss_75,-0.5204575358076633,10.0
2004,flt_ast_m_75,0.13758291542705345,10.0
2004,flt_unast_m_75,0.22481809809542982,10.0
2004,flt_miss_75,-0.3467937791201393,10.0
2004,mid_ast_m_75,0.34442381609173195,10.0
2004,mid_unast_m_75,0.35057273495800384,10.0
2004,mid_miss_75,-0.2752267538999059,10.0
2004,tp_ast_m_75,0.47089982582086626,10.0
2004,tp_unast_m_75,0.08997192672909088,10.0
2004,tp_miss_75,0.4155353477606099,10.0
2004,ftm_75,0.6945392370776425,10.0
2004,ft_miss_75,0.005837842134579432,10.0
2004,ast_rim_75,0.44800300324959064,10.0
2004,ast_mid2_75,0.14977158570145457,10.0
2004,ast_tp_75,0.12198997266030993,10.0
2004,tov_bp_75,-0.2226966442458749,10.0
2004,tov_lb_75,-0.3004167417196811,10.0
2004,tov_dead_75,-0.2886819807390468,10.0
2004,oreb_opp_rate,0.5757238501875994,10.0
2004,dreb_opp_rate,0.03147481185968919,10.0
2004,off_boxout_75,0.0,10.0
2004,def_boxout_75,0.0,10.0
2004,stl_75,0.06189862572774513,10.0
2004,blk_75,-0.009596851714135846,10.0
2004,rim_dfg_diff,0.0,10.0
2004,contested_2pt_75,0.0,10.0
2004,contested_3pt_75,0.0,10.0
2004,defl_75,0.0,10.0
2004,pf_nonoff_75,-0.28427940297680526,10.0
2004,charges_drawn_75,0.0,10.0
2004,height,0.0984379409943682,10.0
2004,age,-0.0036050660241089263,10.0
2004,wing_rel,0.044440190788339676,10.0
2004,residual__usg,-0.0686573796159248,10.0
2004,residual__ast_pct,0.024881351282498014,10.0
2004,residual__mpg,0.0695618803141587,10.0
2004,residual__ts,-0.12172764412176296,10.0
2004,residual__efg,0.10123734965064905,10.0
2004,residual__fg3_rate,0.0022167974138592676,10.0
2004,residual__pct_unassisted,-0.010350713158770992,10.0
2004,residual__fouls_drawn_75,0.0275557032558465,10.0
2004,residual__blocked_75,-0.08745141807258097,10.0
2005,rim_ast_m_75,0.44327567304514615,10.0
2005,rim_unast_m_75,0.5621256836641544,10.0
2005,rim_miss_75,-0.5306769506682564,10.0
2005,flt_ast_m_75,0.14297351874317696,10.0
2005,flt_unast_m_75,0.22122188456017938,10.0
2005,flt_miss_75,-0.34004254278538826,10.0
2005,mid_ast_m_75,0.3889287729514578,10.0
2005,mid_unast_m_75,0.3809285350486449,10.0
2005,mid_miss_75,-0.3311883180651639,10.0
2005,tp_ast_m_75,0.49676422389630676,10.0
2005,tp_unast_m_75,0.08199167659937416,10.0
2005,tp_miss_75,0.4177001238217198,10.0
2005,ftm_75,0.6999458033232414,10.0
2005,ft_miss_75,0.008001187813728633,10.0
2005,ast_rim_75,0.43941568251215424,10.0
2005,ast_mid2_75,0.12903384002830226,10.0
2005,ast_tp_75,0.14604278904572213,10.0
2005,tov_bp_75,-0.21236282748948926,10.0
2005,tov_lb_75,-0.28146842892666424,10.0
2005,tov_dead_75,-0.3336728234422517,10.0
2005,oreb_opp_rate,0.5841514943049183,10.0
2005,dreb_opp_rate,0.019003870546483066,10.0
2005,off_boxout_75,0.0,10.0
2005,def_boxout_75,0.0,10.0
2005,stl_75,0.06189969204958028,10.0
2005,blk_75,-0.030668665597998263,10.0
2005,rim_dfg_diff,0.0,10.0
2005,contested_2pt_75,0.0,10.0
2005,contested_3pt_75,0.0,10.0
2005,defl_75,0.0,10.0
2005,pf_nonoff_75,-0.2738269451624824,10.0
2005,charges_drawn_75,0.0,10.0
2005,height,0.10815486714870765,10.0
2005,age,-0.003181499010368862,10.0
2005,wing_rel,0.039029996617516285,10.0
2005,residual__usg,-0.0829460042919893,10.0
2005,residual__ast_pct,0.04258253322809956,10.0
2005,residual__mpg,0.07124143876886492,10.0
2005,residual__ts,-0.064133905596354,10.0
2005,residual__efg,0.03541322305423927,10.0
2005,residual__fg3_rate,0.01607927448291695,10.0
2005,residual__pct_unassisted,-0.006746986273882935,10.0
2005,residual__fouls_drawn_75,0.031666518297772846,10.0
2005,residual__blocked_75,-0.0758197978256613,10.0
2006,rim_ast_m_75,0.464173668189205,10.0
2006,rim_unast_m_75,0.5605634773157734,10.0
2006,rim_miss_75,-0.5192036398882576,10.0
2006,flt_ast_m_75,0.11724187759473312,10.0
2006,flt_unast_m_75,0.21175872924163072,10.0
2006,flt_miss_75,-0.31501291783157864,10.0
2006,mid_ast_m_75,0.40302397352650465,10.0
2006,mid_unast_m_75,0.383746948295857,10.0
2006,mid_miss_75,-0.33178742731300587,10.0
2006,tp_ast_m_75,0.5345758588749521,10.0
2006,tp_unast_m_75,0.08682828810026126,10.0
2006,tp_miss_75,0.4056173130908044,10.0
2006,ftm_75,0.6729920493050805,10.0
2006,ft_miss_75,0.030907456665493604,10.0
2006,ast_rim_75,0.4210325072207078,10.0
2006,ast_mid2_75,0.10551606223569564,10.0
2006,ast_tp_75,0.15806119830842505,10.0
2006,tov_bp_75,-0.18968090440807997,10.0
2006,tov_lb_75,-0.25720967438835834,10.0
2006,tov_dead_75,-0.3594975960665129,10.0
2006,oreb_opp_rate,0.5899375926702464,10.0
2006,dreb_opp_rate,0.009859358336408669,10.0
2006,off_boxout_75,0.0,10.0
2006,def_boxout_75,0.0,10.0
2006,stl_75,0.06358849997187185,10.0
2006,blk_75,-0.029483870444188563,10.0
2006,rim_dfg_diff,0.0,10.0
2006,contested_2pt_75,0.0,10.0
2006,contested_3pt_75,0.0,10.0
2006,defl_75,0.0,10.0
2006,pf_nonoff_75,-0.28349340465589434,10.0
2006,charges_drawn_75,0.0,10.0
2006,height,0.10882679718429067,10.0
2006,age,0.0018393375815079287,10.0
2006,wing_rel,0.05161805220962301,10.0
2006,residual__usg,-0.08572006498585202,10.0
2006,residual__ast_pct,0.04783348058669788,10.0
2006,residual__mpg,0.07568287697261053,10.0
2006,residual__ts,-0.01949475770875838,10.0
2006,residual__efg,-0.004494309432031486,10.0
2006,residual__fg3_rate,0.024905632186410714,10.0
2006,residual__pct_unassisted,-0.013844287617353165,10.0
2006,residual__fouls_drawn_75,-0.0033902118976542506,10.0
2006,residual__blocked_75,-0.06345887458302445,10.0
2007,rim_ast_m_75,0.41942144007027055,10.0
2007,rim_unast_m_75,0.5691968904303131,10.0
2007,rim_miss_75,-0.4444381444362542,10.0
2007,flt_ast_m_75,0.13713619751218709,10.0
2007,flt_unast_m_75,0.2466067077646559,10.0
2007,flt_miss_75,-0.34785569461244153,10.0
2007,mid_ast_m_75,0.45642499772663775,10.0
2007,mid_unast_m_75,0.3973998024686874,10.0
2007,mid_miss_75,-0.42189200926825865,10.0
2007,tp_ast_m_75,0.5350739478300013,10.0
2007,tp_unast_m_75,0.11665601416002941,10.0
2007,tp_miss_75,0.3709758205105514,10.0
2007,ftm_75,0.7073100482617073,10.0
2007,ft_miss_75,0.0404391726914617,10.0
2007,ast_rim_75,0.42992734678667355,10.0
2007,ast_mid2_75,0.04958328327044266,10.0
2007,ast_tp_75,0.15314047799181882,10.0
2007,tov_bp_75,-0.17124090213683932,10.0
2007,tov_lb_75,-0.24133171351575194,10.0
2007,tov_dead_75,-0.4054743603955849,10.0
2007,oreb_opp_rate,0.5593955663816349,10.0
2007,dreb_opp_rate,0.01857891154825414,10.0
2007,off_boxout_75,0.0,10.0
2007,def_boxout_75,0.0,10.0
2007,stl_75,0.1009973920615746,10.0
2007,blk_75,-0.05545958756458702,10.0
2007,rim_dfg_diff,0.0,10.0
2007,contested_2pt_75,0.0,10.0
2007,contested_3pt_75,0.0,10.0
2007,defl_75,0.0,10.0
2007,pf_nonoff_75,-0.30562617145859144,10.0
2007,charges_drawn_75,0.0,10.0
2007,height,0.1363565807499819,10.0
2007,age,0.033488022073157805,10.0
2007,wing_rel,0.03545050567400933,10.0
2007,residual__usg,-0.13008542925803332,10.0
2007,residual__ast_pct,0.06682022960869186,10.0
2007,residual__mpg,0.08299448231492208,10.0
2007,residual__ts,-0.015884758471712623,10.0
2007,residual__efg,-0.02165672028932486,10.0
2007,residual__fg3_rate,0.030421086182847692,10.0
2007,residual__pct_unassisted,-0.0209775422322348,10.0
2007,residual__fouls_drawn_75,-0.020980176929507127,10.0
