gid,source,sig,stints,seconds
20100112,stints_full_2001.parquet,c0a3ce08bdf7633aef469db57a7c5d5a9320561f,31,2880.0
20100249,stints_full_2001.parquet,749b3d8f4aef3b74f31006c9bd7bdc194b260bd0,26,2880.0
20100500,stints_full_2001.parquet,4a30e177e0080d7c9b86ebcdeb80aad753a5765f,29,2880.0
20100973,stints_full_2001.parquet,47ced7258ebb3597acb1ca8efc8108e52e82575f,35,2880.0
20101009,stints_full_2001.parquet,e50c088635c28a47f2a840732c186699f3491e71,28,2880.0
20101048,stints_full_2001.parquet,a62e58f86c3586f6f1af63b4f264f7184c758903,30,2880.0
20201043,stints_full_2002.parquet,1c38668631d38fdc177ad987ab7faec9d98eddf7,23,2880.0
20300294,stints_full_2003.parquet,68e21fd0307dc91b5d4a57f54d1dec912e5c2fd6,35,2880.0
20300457,stints_full_2003.parquet,96e81ca6c34dc6226eaf815b8f4059c080de2c6e,28,2880.0
20301143,stints_full_2003.parquet,2e876f965006c8ac3672ab7338face34da0e83f0,26,2880.0
20400151,stints_full_2004.parquet,3cb3220426b8c958200eefa39db2d6d8c86a2383,40,2880.0
20400254,stints_full_2004.parquet,c96000101e557f07e51730f6cf42f7571cf3ca1a,41,3480.0
20400523,stints_full_2004.parquet,d522f25ed8199872b7016bc860aa02bd10302fc4,33,2880.0
20400924,stints_full_2004.parquet,39c7aa91a0f68d080edb079dd020f54f3805d0d6,26,2880.0
20401085,stints_full_2004.parquet,1c93ce408bff90421f4129fca45af236a55d6534,29,2880.0
20401218,stints_full_2004.parquet,032cf5ec27b752c07d37122f137fcd0a0aa1fd9a,22,2880.0
20500009,stints_full_2005.parquet,31f92e49a8415c780c46138c07f30beba7efb3d4,27,2880.0
20500021,stints_full_2005.parquet,af663733ffe73bd98d124832a8eabc1a7dd3f1d1,38,2880.0
20500034,stints_full_2005.parquet,eac8308a4d829c76ee04dc67ddbc9eca71ba8ae3,27,2880.0
20500350,stints_full_2005.parquet,b9272ca65ca857b132b4824ee0b0969fe5f0cfe3,33,3480.0
20500753,stints_full_2005.parquet,625ca24ed17c8b83f1463f2018ea6952c316fd7e,26,2880.0
20500773,stints_full_2005.parquet,be2a066c822a58d1d1b3fc99cfb91a0d69279d2b,36,2880.0
20500805,stints_full_2005.parquet,2de66aa072fe00df2474540b7eac41da4ea88f65,32,2880.0
20500980,stints_full_2005.parquet,87117431951f89af7e521b8f5eaff414a41ea098,39,2880.0
20501077,stints_full_2005.parquet,20fce3f6a4c9932eb0a2c26f100bd1c8fcc4f60b,26,2880.0
20600234,stints_full_2006.parquet,025fef353e12577e4c8f111eefa5b115312724b2,32,2880.0
20600258,stints_full_2006.parquet,c523659d6af67d5e6cc297860ca6881ff72561c7,24,2880.0
20600335,stints_full_2006.parquet,03fca21c78f7c7b5b6d186fe6d7e60a4fbaef1dc,34,2880.0
20600344,stints_full_2006.parquet,cf430efba981c3f55f218eea7e9d9b28364c58a7,35,2880.0
20600518,stints_full_2006.parquet,fb3a010e7c8edbe7b925ab91d0d93cc6ab5f7307,31,2880.0
20600531,stints_full_2006.parquet,24d884cd2d857a1f975e541df98266895f0935fa,52,3180.0
20600560,stints_full_2006.parquet,4fb2e8a040f65c0d8df01f682ee9ca5dd36d95ee,30,2880.0
20600744,stints_full_2006.parquet,c18201a4391282627659c33790bc4b08fa46ea88,33,2880.0
20600863,stints_full_2006.parquet,8bc0fe3142216bb20dd4a57479293e2d8059ee27,39,2880.0
20600879,stints_full_2006.parquet,270578c0ac800b8ed6709bb876e971da348f95da,44,3180.0
20600904,stints_full_2006.parquet,1e6b555ac73e3cd44ab6d0628b0ddb2b0beb4ab9,32,2880.0
20600940,stints_full_2006.parquet,21b2ebb00052ed70e7406e43672511b5902d9939,28,2880.0
20600942,stints_full_2006.parquet,b1c3e1c33f3853b59760cd1732849fa20cc99f9e,35,2880.0
20601035,stints_full_2006.parquet,08856d598e66ac86b6847eecbf97e3fb1febcf6e,33,2880.0
20601062,stints_full_2006.parquet,36321ded8c04744fe11dda25ac647cfa3144d0aa,37,2880.0
20700016,stints_full_2007.parquet,dba0cc0b186b50fab10f10174c2c66f408b5753a,30,2880.0
20700049,stints_full_2007.parquet,606041cae581f2143d1d7d6c72f9a46fc00be25b,32,2880.0
20700059,stints_full_2007.parquet,c257c6d99eb0d0b3e0cb3ee28d45aa9d3a21d761,33,2880.0
20700092,stints_full_2007.parquet,b26e1b30c358d9f679baa7722e642244bd13aac2,28,2880.0
20700107,stints_full_2007.parquet,f59f8ac13f6380d637b840906d03c792a8b65484,36,3180.0
20700204,stints_full_2007.parquet,4832acc19b26bf89f106588c39992903cfbd616e,37,3180.0
20700238,stints_full_2007.parquet,7e56612c334f5041ea8dc6976f7d5efdb903b264,39,3180.0
20700252,stints_full_2007.parquet,9c354ce51fe68e0633a5862bbafb262bd6558ff1,26,2880.0
20700347,stints_full_2007.parquet,f2969c76263f58b9ccb6d5f6c6fe7e35fe50f56d,24,2880.0
20700372,stints_full_2007.parquet,b14609c15049853f821a596209cd06b08e80f7c5,31,2880.0
20700426,stints_full_2007.parquet,f91f7eee2e155116cfa2cf294c5207befc2a0b22,27,2880.0
20700438,stints_full_2007.parquet,f0ef0fd0af5b462ba5455489a8b05cc8a3ea9000,25,2880.0
20700461,stints_full_2007.parquet,edcc9791d384f59700b9eac55aebf7c06d7d770d,31,2880.0
20700477,stints_full_2007.parquet,46f81b2fa283ccbad33d04079163631033002e59,24,2880.0
20700504,stints_full_2007.parquet,aa470dd02f92b984eeddc1f6c700233f0b64d885,23,2880.0
20700521,stints_full_2007.parquet,faf9abaab9020e6d4b34ba4131738c0364319b01,31,2880.0
20700562,stints_full_2007.parquet,0de2501ddbe94b7711f31079a98f1b015f9173a7,29,2880.0
