target,feature,coef_per_training_sd,raw_unit_coef,training_mean,training_sd,expected,basketball_sign_ok,loo_sign_agreement,loo_coef_sd,current_missing_rate,current_abs_contribution_p95,current_abs_contribution_max
orapm,rim_ast_m_75,0.27696227673765555,0.2820533987588414,1.435185232177697,0.9819497937497331,positive,True,1.0,0.02373752620560282,0.0,0.5032193832719344,1.5182924825897024
orapm,rim_unast_m_75,0.7788641860651621,1.0594121017550937,1.161763331565414,0.7351852832102286,positive,True,1.0,0.03307937176307473,0.0,1.2307861328357148,5.992478197312652
orapm,rim_miss_75,-0.38813448373338777,-0.5306502515694186,1.4891298113071993,0.7314318283755922,negative,True,1.0,0.030708340684892192,0.0,0.790207108989686,2.3936944004268255
orapm,flt_ast_m_75,0.13982763694546982,0.4503675205634013,0.3411808753586525,0.3104745137272512,positive,True,1.0,0.013774920826328906,0.0,0.3676052927832666,2.2590263609764363
orapm,flt_unast_m_75,0.23969850637833726,0.6502108587973594,0.4221458222025193,0.36864734437331226,positive,True,1.0,0.0196853566977945,0.0,0.4577661789472388,2.9765704963947797
orapm,flt_miss_75,-0.42180287428919916,-0.7288699072333618,1.0557114124297342,0.5787080384348353,negative,True,1.0,0.018153056452557503,0.0,0.7993500227020267,3.044377886513101
orapm,mid_ast_m_75,0.17966792837175125,0.4038331924105117,0.4518560262976414,0.4449062923711135,positive,True,1.0,0.016428724266079556,0.0,0.18247446160970465,1.0290251156218304
orapm,mid_unast_m_75,0.34979008881480195,0.5506931961663266,0.5767038354555856,0.6351814245207315,positive,True,1.0,0.029615568920680714,0.0,0.45319876352288363,1.620058593944103
orapm,mid_miss_75,-0.41791647300516294,-0.3898803813119479,1.4418642890762567,1.0719094702813041,negative,True,1.0,0.032086888655107886,0.0,0.5621545988251316,5.286051120854087
orapm,tp_ast_m_75,0.6268961926790195,0.7077703060684016,1.4680836526511551,0.885733955358158,positive,True,1.0,0.05246630708438965,0.0,1.3135657438465842,3.2075558202394845
orapm,tp_unast_m_75,0.36595955892011756,0.8257965071590506,0.3147938577036862,0.4431594899560804,positive,True,1.0,0.020411521041232863,0.0,0.5194808188012546,2.575397146113175
orapm,tp_miss_75,-0.009734166805666862,-0.0058714610400835325,3.116192582978722,1.6578781225342807,negative,True,0.5,0.05772848808621994,0.0,0.019654049736218964,0.06638793088761719
orapm,ftm_75,0.7397927136337291,0.46177988795310226,2.6655697406168004,1.6020461976223215,positive,True,1.0,0.017682488822458618,0.0,1.341150926926322,7.051015407353519
orapm,ft_miss_75,-0.16453039840998154,-0.30778444088418194,0.7546861996756208,0.5345637288789841,negative,True,1.0,0.021863641614104853,0.0,0.31255467966292333,1.7750091618431916
orapm,ast_rim_75,0.4386130612047363,0.43996410810977005,1.4565360432495238,0.9969291883584817,positive,True,1.0,0.0336733903527008,0.0,0.7748279202965479,3.7588174998996893
orapm,ast_mid2_75,-0.013684346715674972,-0.025803390435203074,0.7866603264291029,0.5303313434735956,positive,False,0.8,0.019951139042228033,0.0,0.028122434961103317,0.1556337039700138
orapm,ast_tp_75,0.05352423873658715,0.06219997970454491,1.4621027016626464,0.8605185884437864,positive,True,1.0,0.0164745125441446,0.0,0.11649874967722958,0.23642555586507005
orapm,tov_bp_75,-0.027080337246195015,-0.06271428656965974,0.7640431200766312,0.43180491603162213,negative,True,0.8,0.03531406893656718,0.0,0.06143449418377691,0.2880529731534001
