alpha,dev_total,test_total,test_o,test_d,n_dev,n_test
150,0.38392482722063725,0.41957300441228623,0.43146706410041397,0.4340515265980295,3714,2136
500,0.4147198824497808,0.447246044435044,0.46290096926110985,0.45431532357831705,3714,2136
1000,0.43035027634290246,0.4630059715729942,0.4831547928794575,0.46634296470795217,3714,2136
2000,0.4410572933859729,0.474968305747107,0.500264289867001,0.4768357681793498,3714,2136
4000,0.4437314579996254,0.4791165389003986,0.5094640596246071,0.48239489882874903,3714,2136
8000,0.4381478892260975,0.474451896574542,0.5090982470141674,0.4807508391834162,3714,2136
