feature,rmse_increase_mean,rmse_increase_sd,standardized_coefficient
shock_size,8.163925128637192,0.5746843040641412,-1.6598478770314207
proportional_raw,6.788383524163786,0.3056962373711578,3.0315208403835023
prior_creation_p36,2.171180274161586,0.29738183469339735,0.7963934929275845
expected_fga,0.7483783415783682,0.10788675899723946,-0.8749882312687706
prior_minutes,0.5826490496551708,0.12831099343689475,0.38522842319789474
expected_minutes,0.5009554624428375,0.07371518777410194,-0.7093793338576101
expected_creation_load,0.4536301353757559,0.07173999367468437,-0.5936363155096791
expected_tov,0.22688004215929766,0.044686472288945595,-0.38790689070007545
expected_fta,0.08676724614906163,0.024726331621233815,-0.18550418123226428
home_filled,0.057739243635023814,0.030778961034875506,0.1064719141288196
expected_pts,0.032048227131747355,0.006483997402174974,-0.061466402173166484
expected_ast,0.03031623224786415,0.00889269163717162,-0.07368350556428654
creator_rank,0.0029790126320983035,0.001973096580182878,-0.005641019743119674
season_start,0.0007249856850585701,0.002352557169170152,0.048471125525532816
prior_ast_p36,-0.006473884803635172,0.0042710889301409765,-0.01472683172965059
is_back_to_back,-0.007054311377680662,0.008615601613879316,0.023078535081894242
expected_fg3a,-0.06254703803547272,0.030187388954630606,0.2714302014617803
