player_id,player_name,A_r,M_r
2544,James,7414.687000340568,2582.2108116654595
201142,Durant,6148.47604051963,2403.666886639075
201144,Conley,5428.002266513904,2101.054357481515
201145,Green,4477.448312365235,1500.4798831755734
201935,Harden,10055.526927623569,3621.795976231676
201950,Holiday,4423.806341417445,1634.714239595652
202331,George,6217.098795475442,2390.883191543459
202696,Vučević,3476.089533413123,1246.6213701685165
202699,Harris,4869.849680783282,1795.347065487661
203083,Drummond,247.3261506999636,46.87540295233055
203084,Barnes,4455.634849208396,1711.7094389339522
203468,McCollum,6174.210660065517,2437.0277179264326
203471,Schröder,4441.121629573158,1526.5190386420286
203482,Olynyk,3120.3500782724977,1149.815935816314
203497,Gobert,21.985795346268457,0.0
203501,Hardaway Jr.,5956.4401663875215,2156.7701943230245
203903,Clarkson,5076.112220803041,1722.2306976809266
203924,Grant,2954.6478808835973,1078.3969555673134
203932,Gordon,2584.4750644777646,861.817994260549
203935,Smart,3442.3161632054143,1118.584732928703
203937,Anderson,939.6746237853854,323.8877296128486
203944,Randle,2820.9503003660334,935.681215244557
203954,Embiid,1701.565755252236,570.471265252889
203999,Jokić,2464.329576002991,891.8527437779611
204060,Ingles,3006.8751843914297,1229.7228472288216
1626145,Jones,2059.286528619924,755.7380357633134
1626157,Towns,3031.7296959791734,1209.1863442373408
1626162,Oubre Jr.,3532.227243275037,1149.4490765887524
1626164,Booker,4254.495560544303,1492.6380333736795
1626220,O'Neale,3222.486312673292,1242.4129932286846
1627741,Hield,7408.863826731693,2889.997152228867
1627742,Ingram,2169.24479252984,789.4521486269308
1627747,LeVert,3171.329714302168,1092.7833411460956
1627750,Murray,3391.642312149956,1304.9751423140513
1627759,Brown,3481.3204557854606,1247.8352276532828
1627827,Finney-Smith,3251.608664129178,1175.516955873656
1627936,Caruso,1289.4420294735826,484.3925967340045
1628368,Fox,3106.108133162468,1023.2749528730876
1628369,Tatum,4157.941362573199,1537.2591674415603
1628378,Mitchell,4820.737908392213,1761.6205898969831
1628379,Kennard,2663.96540114366,1200.217015488436
1628384,Anunoby,2816.455021617138,1059.7654469935032
1628392,Hartenstein,117.95945791575087,28.98995110732287
1628396,Bradley,1.0,1.0
1628401,White,3389.3948860114824,1202.0499232767509
1628404,Hart,2462.844088319589,855.4919706718571
1628415,Brooks,2855.38308410836,1011.8208498051736
1628418,Bryant,782.7690207992348,270.8794333355036
1628436,Kornet,525.8180803911899,163.9435182928837
1628960,Allen,2396.878587335076,976.2841910169636
1628969,Bridges,3384.3676172743203,1263.700945304252
1628971,Brown,1189.482698178255,400.4752072675037
1628973,Brunson,2416.622873960548,930.6498193364176
1628975,Carter,1944.6526422598988,755.476162300782
1628976,Carter Jr.,1119.062064910416,352.8112759138877
1628978,DiVincenzo,3088.4036427315764,1169.6910399014182
1628983,Gilgeous-Alexander,1967.7557691220327,705.0836489985802
1628988,Holiday,1338.0743868884408,510.3566207185265
1628989,Huerter,3579.797201943284,1296.753030784829
1629006,Okogie,1127.942396451373,353.4172931961905
1629013,Shamet,2446.382223776061,970.3339540416498
1629020,Vanderbilt,348.9265960864247,103.67680373896316
1629021,Wagner,933.676702866629,308.89327382949807
1629026,Williams,1037.3504341208686,383.2883144198144
1629057,Williams III,32.91521504203975,10.971622962863083
1629060,Hachimura,1362.9779604650537,531.5795838280956
1629130,Robinson,3397.881325407687,1357.7390564391303
1629162,McLaughlin,541.2533045483344,205.7173914044897
1629216,Vincent,1413.2264590370708,481.01179672239977
1629312,Highsmith,568.6071217255866,211.853103713976
1629622,Strus,1960.7253175879955,720.7392861355041
1629628,Barrett,2279.3719219837253,792.9468184234322
1629637,Hayes,117.95945791575087,31.9889115667011
1629638,Alexander-Walker,2521.521733247728,903.5931462799366
1629640,Johnson,1842.3206161132327,653.5218109280779
1629652,Dort,2307.756309804892,826.8437448695537
1629656,Grimes,2200.3850584273687,815.1435782016058
1629661,Johnson,2425.653706618228,954.4460494846936
1629675,Reid,1901.976184468269,716.4510162506535
1629680,Thybulle,1037.066604401697,358.63121763111843
1629731,Wade,1096.0477791999228,402.42413610289657
1629750,Green,717.4018133986469,241.7660044525715
1630162,Edwards,3437.886860778248,1264.3547414641646
1630166,Avdija,1544.3433752245762,522.3928707157131
1630168,Okongwu,533.0201273260878,191.5723131997391
1630170,Vassell,1983.5582373864893,726.8287643162672
1630178,Maxey,2330.523449229257,883.3930968249998
1630183,McDaniels,1488.5163315219877,531.3186449193606
1630191,Stewart,654.197194278481,224.38360487332264
1630192,Nnaji,319.8894621805516,112.96119048345383
1630194,Reed,136.76868811487768,43.92693605554989
1630198,Joe,1759.5499142471306,710.703282571631
1630202,Pritchard,2072.723094056276,810.5894201829989
1630217,Bane,2285.272743758141,932.3773228658832
1630224,Green,2348.416155164612,796.6046653884879
1630228,Kuminga,682.4186728260382,223.16074211893863
1630241,Merrill,1107.7886733618336,448.1410625782276
1630245,Dosunmu,1309.0416518822456,510.0017756037106
1630249,Krejčí,959.004811403798,382.60199388823327
1630256,Tate,593.1809209121491,182.7464838964883
1630322,Waters III,817.027267892157,293.2931529243965
1630532,Wagner,1436.5299311744047,467.5452726495111
1630538,Hyland,1473.758503813914,540.6369398294851
1630540,McBride,1063.2879269715502,401.4714041403642
1630545,Shannon Jr.,100.08667249826654,33.668025968150374
1630552,Johnson,729.3186872817789,239.4696872457338
1630557,Kispert,1830.404343750461,691.1238788944593
1630559,Reaves,1552.3063706566722,570.1182344765629
1630567,Barnes,1169.5465825066265,352.4532614233957
1630568,Garza,241.9421928271529,85.62376771079785
1630570,Watford,288.9002041003099,99.96534864594094
1630572,Mamukelashvili,691.6774695994263,242.8289903262377
1630573,Hauser,1607.974001945636,667.2682991136384
1630574,Hukporti,4.998613945837637,0.9996534864594092
1630577,Champagnie,1334.378893714766,497.86167795147423
1630578,Sengun,472.70387720065975,129.64283142441695
1630591,Suggs,1259.790299977261,409.3885168470442
1630595,Cunningham,1516.40251957333,520.098760515359
1630596,Mobley,700.4883487159797,219.82423342311947
1630598,Wiggins,930.4323284242314,358.00601923539284
1630631,Alvarado,1346.7841214540194,475.3944389480915
1630639,Lawson,230.3746044010783,75.79372678603403
1630692,Goodwin,710.2642602424783,232.75787095550484
1630700,Daniels,547.3782738730619,162.22520310571656
1630703,Henderson,619.1355030414265,213.9884540543745
1630811,Wallace,168.82645662500263,60.93660999264291
1631094,Banchero,1106.14282925106,353.93380280185994
1631095,Smith Jr.,1406.4511829149078,487.49301485225845
1631096,Holmgren,677.625378895237,248.55022415976592
1631101,Sharpe,1238.2969419852643,411.4378504936436
1631106,Eason,590.0188888362176,218.76921220271635
1631110,Sochan,525.6365702134565,149.89641034203683
1631114,Williams,857.7522019667456,323.7761504796784
1631119,Williams,607.2415906282502,227.7299127536492
1631124,Strawther,495.4876840389008,164.82957440644975
1631128,Braun,547.3786184704851,205.01810289673475
1631133,Walker,340.41548916474574,104.8182064227262
1631165,Ellis,844.9310278211177,338.36985560564824
1631199,Harper Jr.,48.90582800812793,13.97403284759788
1631200,Murray,383.7349630088122,95.93348092708344
1631204,Sasser,448.8664642841388,171.18440899426864
1631207,Terry,305.4757408703865,102.82478537879604
1631221,Gillespie,559.2744132281671,234.02647963424835
1631222,LaRavia,704.2993444499913,260.3713842229435
1631230,Barlow,105.96361607823798,27.990297620863466
1631243,Gueye,197.3357207504528,52.81870833315014
1631248,Scheierman,219.48604680341865,78.45539671747439
1631288,Cain,162.35254614062674,52.78867972562649
1631321,Cissoko,209.642645168118,62.89438658844094
1641705,Wembanyama,1050.1791243241178,359.8181790305345
1641708,Thompson,249.3237311040617,52.85879381895553
1641709,Thompson,189.5499972871382,38.90792316004927
1641710,Black,578.6714294813049,198.5105248010148
1641717,Wallace,696.5279062842935,264.68182274320304
1641724,Howard,308.7872775480689,94.934173834093
1641733,Smith Jr.,526.731689733524,196.5278452603956
1641739,Camara,959.1358047654744,346.77356597122827
1641740,Clark,131.65009501128637,44.878865927195775
1641763,Phillips,294.59513574794136,95.86873943304823
1641775,Walsh,163.34977739031686,51.787988018044295
1641780,Broome,8.992034150056668,1.0
1641783,da Silva,459.49702140718506,161.12040000568152
1641842,Holland II,292.2022495578925,68.81276247318603
1641854,Porter Jr.,153.94698342828963,58.97955570110515
1642258,Risacher,540.0699087113053,190.6700010130561
1642260,Topić,4.998613945837637,0.9996534864594092
1642261,Knecht,443.237504475686,159.7250581363689
1642263,Sheppard,526.6592809118571,191.5487856860244
1642264,Castle,559.3245241740461,167.9734526228603
1642266,Walter,387.5057641845181,134.75505510325135
1642270,Clingan,243.0180889624808,75.37504098145723
1642272,McCain,467.8715826446152,181.39709763263667
