game_id,player_id,assisted_2pm,unassisted_2pm,assisted_3pm,unassisted_3pm,assisted_fgm,unassisted_fgm
20000009,696,1,5,0,0,1,5
20000009,764,4,1,0,0,4,1
20000009,955,0,2,0,0,0,2
20000009,979,4,4,0,0,4,4
20000009,1495,3,4,0,0,3,4
20000009,1498,1,5,0,0,1,5
20000009,1506,1,6,1,0,2,6
20000009,1507,1,0,1,0,2,0
20000009,1886,0,0,1,0,1,0
20000010,178,1,0,0,0,1,0
20000010,252,12,3,0,0,12,3
20000010,304,2,3,0,0,2,3
20000010,317,5,1,1,0,6,1
20000010,330,4,0,0,0,4,0
20000010,399,3,0,0,0,3,0
20000010,400,3,0,0,0,3,0
20000010,923,1,1,0,0,1,1
20000010,935,3,0,2,1,5,1
20000010,976,3,6,0,0,3,6
20000010,1521,0,0,0,1,0,1
20000010,1730,2,1,0,0,2,1
20000010,1838,0,0,1,0,1,0
20000010,1885,0,1,1,0,1,1
20000010,1894,1,4,0,1,1,5
20000010,2032,3,1,0,0,3,1
20000010,2039,0,1,1,0,1,1
20000010,2047,0,1,0,0,0,1
20000010,2052,2,0,0,0,2,0
20000011,53,1,0,0,0,1,0
20000011,168,3,4,1,0,4,4
20000011,201,1,0,0,0,1,0
20000011,219,0,0,1,0,1,0
20000011,228,1,0,0,0,1,0
20000011,302,1,2,0,0,1,2
20000011,361,7,1,2,0,9,1
20000011,467,3,4,1,0,4,4
20000011,915,1,2,0,0,1,2
20000011,916,0,1,0,0,0,1
20000011,956,2,0,0,0,2,0
20000011,960,3,1,1,0,4,1
20000011,1502,1,1,0,0,1,1
20000011,1504,1,3,0,0,1,3
20000011,1712,3,1,0,0,3,1
20000011,1716,1,3,2,0,3,3
20000011,1890,3,1,2,0,5,1
20000011,1907,1,0,0,0,1,0
20000011,2101,0,1,0,0,0,1
20000012,21,1,0,1,1,2,1
20000012,120,4,4,0,0,4,4
20000012,166,0,1,1,0,1,1
20000012,216,0,1,1,0,1,1
20000012,270,2,0,0,0,2,0
20000012,278,1,2,0,0,1,2
20000012,296,1,0,1,0,2,0
20000012,323,1,0,0,0,1,0
20000012,375,3,2,1,0,4,2
20000012,406,11,3,0,0,11,3
20000012,431,2,0,0,0,2,0
20000012,739,4,5,2,0,6,5
20000012,757,2,1,0,0,2,1
20000012,905,0,1,0,0,0,1
20000012,977,3,1,0,0,3,1
20000012,1719,1,2,0,0,1,2
20000012,1731,2,0,0,0,2,0
20000012,1904,0,0,1,0,1,0
20000013,3,1,1,0,0,1,1
20000013,56,2,6,2,0,4,6
20000013,121,0,1,0,0,0,1
20000013,236,1,0,0,0,1,0
20000013,452,6,1,0,0,6,1
20000013,735,1,0,0,0,1,0
20000013,949,8,4,0,0,8,4
20000013,970,2,0,0,0,2,0
20000013,1134,3,0,1,0,4,0
20000013,1710,5,2,0,0,5,2
20000013,1722,4,3,1,1,5,4
20000013,1739,0,2,0,0,0,2
20000013,1740,1,0,2,0,3,0
20000013,1742,1,1,3,1,4,2
20000013,1800,0,0,1,0,1,0
20000013,2046,3,0,0,0,3,0
20000014,72,0,1,1,0,1,1
20000014,76,1,1,3,0,4,1
20000014,146,0,1,1,0,1,1
20000014,179,0,0,2,0,2,0
20000014,182,0,3,0,0,0,3
20000014,376,2,0,0,0,2,0
20000014,688,1,0,0,0,1,0
20000014,711,2,2,3,0,5,2
20000014,952,6,3,3,0,9,3
20000014,958,1,0,0,0,1,0
20000014,961,4,1,0,0,4,1
20000014,966,0,3,0,0,0,3
20000014,1088,0,1,0,0,0,1
20000014,1112,1,2,0,0,1,2
20000014,1499,3,2,0,0,3,2
20000014,1559,1,0,0,0,1,0
20000014,1630,0,1,0,0,0,1
20000014,1718,4,4,1,0,5,4
20000015,137,1,0,2,0,3,0
20000015,213,2,3,0,0,2,3
20000015,238,2,3,0,0,2,3
20000015,243,2,3,0,0,2,3
20000015,248,2,0,0,0,2,0
20000015,349,0,5,2,0,2,5
20000015,389,1,3,1,0,2,3
20000015,689,2,1,0,0,2,1
20000015,722,4,1,0,0,4,1
20000015,727,2,3,0,0,2,3
20000015,788,4,2,0,0,4,2
20000015,891,3,0,0,0,3,0
20000015,947,1,8,0,0,1,8
20000015,1541,2,0,1,0,3,0
20000015,1713,3,4,2,0,5,4
20000015,1737,1,1,0,0,1,1
20000015,1928,2,0,0,0,2,0
20000015,2050,0,1,0,0,0,1
20000016,42,1,1,0,0,1,1
20000016,190,1,0,0,0,1,0
20000016,193,1,2,0,0,1,2
20000016,224,2,1,3,0,5,1
20000016,258,4,0,0,0,4,0
20000016,353,0,0,1,0,1,0
20000016,448,0,4,0,0,0,4
20000016,680,2,3,0,0,2,3
20000016,690,1,2,0,0,1,2
20000016,692,0,3,0,0,0,3
20000016,896,0,3,1,2,1,5
20000016,920,1,1,0,0,1,1
20000016,931,4,0,1,0,5,0
20000016,957,2,1,0,0,2,1
20000016,1477,0,1,1,0,1,1
20000016,1503,1,6,0,0,1,6
20000016,1607,0,2,0,0,0,2
20000016,1720,1,0,0,0,1,0
20000016,1727,1,1,0,0,1,1
20000016,1853,1,4,0,0,1,4
20000016,2034,0,1,0,0,0,1
20000016,2067,0,1,0,0,0,1
20000017,43,0,1,0,0,0,1
20000017,63,1,0,0,0,1,0
20000017,133,3,0,0,0,3,0
20000017,136,3,1,0,0,3,1
20000017,393,3,3,0,0,3,3
20000017,436,4,2,0,0,4,2
20000017,469,3,2,0,0,3,2
20000017,685,1,0,0,0,1,0
20000017,695,2,0,0,0,2,0
20000017,765,1,0,0,0,1,0
20000017,782,2,0,1,0,3,0
20000017,901,1,0,0,0,1,0
20000017,922,4,0,0,0,4,0
20000017,1562,1,0,0,0,1,0
20000017,1732,2,0,0,0,2,0
20000017,1751,1,1,0,0,1,1
20000017,1884,1,1,0,0,1,1
20000017,1888,5,1,3,0,8,1
20000017,1906,1,0,0,0,1,0
20000017,1918,0,1,0,0,0,1
20000017,1944,0,1,0,0,0,1
20000017,2048,2,1,0,0,2,1
20000018,57,1,0,0,0,1,0
20000018,98,0,0,1,0,1,0
20000018,124,2,0,0,0,2,0
20000018,185,3,7,0,0,3,7
20000018,221,2,3,0,0,2,3
20000018,239,0,1,0,0,0,1
20000018,423,4,1,0,0,4,1
20000018,441,5,3,0,0,5,3
20000018,445,2,1,0,0,2,1
20000018,902,2,1,0,0,2,1
