season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1996-97,Playoffs,788,Kevin Willis,5.0,1,0,0,1,1,0.2,0.0,0.0,0.2,0.2
1996-97,Playoffs,441,Lamond Murray,,1,0,0,1,1,,,,,
1996-97,Playoffs,907,Malik Sealy,,0,1,0,1,1,,,,,
1996-97,Playoffs,1110,Mark Strickland,3.0,1,0,0,1,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
1996-97,Playoffs,761,Matt Geiger,4.0,1,0,0,1,1,0.25,0.0,0.0,0.25,0.25
1996-97,Playoffs,98,Nick Anderson,,1,0,0,1,1,,,,,
1996-97,Playoffs,71,Pooh Richardson,,1,0,0,1,1,,,,,
1996-97,Playoffs,753,Randy Brown,14.0,0,1,0,1,1,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142
1996-97,Playoffs,716,Rumeal Robinson,,1,0,0,1,1,,,,,
1996-97,Playoffs,399,Sean Rooks,4.0,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25
1996-97,Playoffs,689,Theo Ratliff,,1,0,0,1,1,,,,,
1996-97,Playoffs,100,Tim Legler,,1,0,0,1,1,,,,,
1996-97,Playoffs,145,Tracy Murray,,0,1,0,1,1,,,,,
1996-97,Playoffs,124,Vlade Divac,9.0,1,0,0,1,1,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
1997-98,Playoffs,304,John Stockton,11.0,55,13,0,68,68,5.0,1.1818181818181819,0.0,6.181818181818182,6.181818181818182
1997-98,Playoffs,937,Scottie Pippen,4.0,27,13,0,40,40,6.75,3.25,0.0,10.0,10.0
1997-98,Playoffs,349,Mark Jackson,13.0,21,13,0,34,34,1.6153846153846154,1.0,0.0,2.6153846153846154,2.6153846153846154
1997-98,Playoffs,458,Howard Eisley,11.0,27,6,0,33,33,2.4545454545454546,0.5454545454545454,0.0,3.0,3.0
1997-98,Playoffs,89,Nick Van Exel,,13,15,0,28,28,,,,,
1997-98,Playoffs,296,Rick Fox,8.0,16,12,0,28,28,2.0,1.5,0.0,3.5,3.5
1997-98,Playoffs,252,Karl Malone,11.0,22,4,0,26,26,2.0,0.36363636363636365,0.0,2.3636363636363638,2.3636363636363638
1997-98,Playoffs,893,Michael Jordan,,17,7,0,24,24,,,,,
1997-98,Playoffs,109,Robert Horry,8.0,12,12,0,24,24,1.5,1.5,0.0,3.0,3.0
1997-98,Playoffs,56,Gary Payton,,19,4,0,23,23,,,,,
1997-98,Playoffs,204,Jeff Hornacek,11.0,21,2,0,23,23,1.9090909090909092,0.18181818181818182,0.0,2.090909090909091,2.090909090909091
1997-98,Playoffs,406,Shaquille O'Neal,8.0,10,10,0,20,20,1.25,1.25,0.0,2.5,2.5
1997-98,Playoffs,389,Toni Kukoc,,17,3,0,20,20,,,,,
1997-98,Playoffs,133,David Wesley,,14,5,0,19,19,,,,,
1997-98,Playoffs,369,Charlie Ward,20.0,14,4,0,18,18,0.7,0.2,0.0,0.9,0.9
