player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Walter Clayton Jr.,386,205,37,14,108,329,176,87,76,62503.1,128,51,128,1642383
Cody Williams,290,55,32,21,121,256,79,45,33,59925.49999999999,122,18,196,1642262
Derrick Jones Jr.,328,37,25,32,84,238,106,65,25,47626.4,120,38,160,1627884
Kawhi Leonard,1339,177,96,23,308,940,333,309,103,93571.90000000001,467,125,504,202695
Ivica Zubac,619,96,16,36,473,429,0,132,82,79707.29999999999,263,0,518,1627826
Bradley Beal,49,10,3,0,5,48,19,8,9,7255.0,18,7,18,203078
James Harden,1290,429,63,21,258,884,446,422,195,111368.8,376,161,370,201935
Kris Dunn,494,227,91,8,203,379,167,73,88,102841.90000000001,187,63,242,1627739
John Collins,744,52,45,43,280,520,175,112,74,89884.50000000001,291,74,392,1628381
Chris Paul,47,53,11,0,28,56,30,2,16,13652.1,18,10,10,101108
Brook Lopez,427,61,36,54,170,376,234,43,45,65910.4,154,82,122,201572
Nicolas Batum,245,54,41,20,154,201,192,11,35,66743.4,80,76,2,201587
Cam Christie,133,25,11,3,62,115,45,44,17,24133.0,44,12,56,1642353
Kobe Sanders,366,87,30,7,127,298,144,51,67,65451.7,134,57,128,1642920
Yanic Konan Niederhäuser,176,12,5,30,117,100,5,62,23,25420.699999999997,64,1,126,1642949
Kobe Brown,188,40,14,6,106,154,75,40,28,32580.9,66,24,84,1641738
Dillon Brooks,1044,88,52,8,183,871,341,188,90,91815.60000000002,383,117,362,1628415
Ryan Dunn,327,83,47,24,236,304,141,40,47,66799.4,131,45,170,1642346
Oso Ighodaro,379,124,61,39,302,264,1,80,81,78752.60000000002,170,0,334,1642345
Grayson Allen,716,171,60,12,124,573,392,130,70,74111.30000000002,232,139,174,1628960
Devin Booker,1164,282,43,13,186,849,268,362,156,93930.4,383,85,394,1626164
Collin Gillespie,833,296,81,13,254,672,452,73,103,106966.5,290,191,138,1631221
Royce O'Neale,625,177,70,21,309,524,426,30,92,110352.90000000004,217,170,86,1626220
Mark Williams,648,56,51,50,451,412,1,163,59,79307.09999999999,261,1,510,1631109
Nigel Hayes-Davis,34,7,8,2,33,46,16,4,8,11712.8,15,2,24,1628502
Nick Richards,193,11,10,26,177,137,8,74,47,30129.199999999997,71,2,134,1630208
DeMar DeRozan,1162,249,71,18,195,828,129,362,70,121678.7,404,42,344,201942
Nique Clifford,438,115,53,19,205,417,166,66,81,81932.1,169,52,188,1642363
Drew Eubanks,206,16,14,23,113,146,7,51,28,30796.2,88,1,170,1629234
Zach LaVine,748,89,28,10,108,547,254,142,74,73455.8,262,99,246,203897
Dennis Schröder,639,268,47,9,149,530,200,170,103,80679.1,215,68,214,203471
Malik Monk,632,136,31,18,98,521,258,85,75,67373.6,227,104,194,1628370
Dario Šarić,5,2,0,0,6,6,3,2,2,2474.9,1,1,0,203967
Maxime Raynaud,596,66,28,25,399,451,45,97,61,82600.40000000001,255,11,462,1642875
Russell Westbrook,904,377,77,10,313,781,353,161,200,102260.20000000001,336,119,356,201566
Keon Ellis,308,47,65,36,87,264,180,37,29,60628.1,110,64,82,1631165
Dylan Cardwell,156,36,22,47,223,112,1,40,24,36931.8,67,0,126,1642928
Deni Avdija,1173,318,38,28,339,776,299,441,184,96475.49999999999,359,102,476,1630166
