game_id,stint_index,home_id,away_id,home_p1,home_p2,home_p3,home_p4,home_p5,away_p1,away_p2,away_p3,away_p4,away_p5,seconds,home_pts,away_pts,home_pts_adj,away_pts_adj,start_elapsed,end_elapsed,start_period,start_clock,end_period,end_clock,start_home_score,start_away_score,end_home_score,end_away_score,start_home_score_adj,start_away_score_adj,end_home_score_adj,end_away_score_adj,date,home_inferred_count,away_inferred_count,home_lineup_complete,away_lineup_complete
20400001,0,1610612765,1610612745,739,1112,1497,1888,2419,369,754,1503,1508,2397,459,13,8,12.403,9.098,0,459,1,PT12M00.00S,1,PT04M21.00S,0,0,13,8,0.0,0.0,12.403,9.098,2004-11-02,0,0,1,1
20400001,1,1610612765,1610612745,739,1112,1497,1888,2419,369,754,1508,2397,2411,71,3,2,3.0,2.0,459,530,1,PT04M21.00S,1,PT03M10.00S,13,8,16,10,12.403,9.098,15.403,11.098,2004-11-02,0,0,1,1
20400001,2,1610612765,1610612745,739,1112,1497,1888,2419,754,1508,1731,2397,2411,11,0,0,0.0,0.0,530,541,1,PT03M10.00S,1,PT02M59.00S,16,10,16,10,15.403,11.098,15.403,11.098,2004-11-02,0,0,1,1
20400001,3,1610612765,1610612745,686,1112,1497,1888,2419,87,754,1508,1731,2411,126,0,6,1.128,2.582,541,667,1,PT02M59.00S,1,PT00M52.80S,19,10,19,16,18.403,11.098,19.53,13.68,2004-11-02,0,0,1,1
20400001,4,1610612765,1610612745,686,1112,1497,1888,2568,87,754,1508,1731,2411,100,0,2,1.111,3.018,667,767,1,PT00M52.80S,2,PT11M13.00S,19,16,19,18,19.53,13.68,20.642,16.698,2004-11-02,0,0,1,1
20400001,5,1610612765,1610612745,686,1112,1497,1888,2568,87,1503,1508,1731,2411,70,0,0,0.0,0.0,767,837,2,PT11M13.00S,2,PT10M03.00S,19,18,19,18,20.642,16.698,20.642,16.698,2004-11-02,0,0,1,1
20400001,6,1610612765,1610612745,686,1032,1112,1497,2568,87,1503,1508,1731,2411,252,3,7,5.048,5.358,837,1089,2,PT10M03.00S,2,PT05M51.00S,19,18,22,25,20.642,16.698,25.69,22.056,2004-11-02,0,0,1,1
20400001,7,1610612765,1610612745,739,1032,1112,1497,2568,87,1503,1508,1731,2411,62,2,3,2.0,3.0,1089,1151,2,PT05M51.00S,2,PT04M49.00S,22,25,24,28,25.69,22.056,27.69,25.056,2004-11-02,0,1,1,1
20400001,8,1610612765,1610612745,739,1112,1497,1888,2419,87,754,1508,1731,2411,115,6,2,6.0,2.0,1151,1266,2,PT04M49.00S,2,PT02M54.00S,24,28,30,30,27.69,25.056,33.69,27.056,2004-11-02,0,1,1,1
20400001,9,1610612765,1610612745,739,1112,1497,1888,2419,87,369,754,1508,2411,63,2,1,3.115,2.025,1266,1329,2,PT02M54.00S,2,PT01M51.00S,30,30,32,31,33.69,27.056,36.805,29.081,2004-11-02,0,1,1,1
