game_id,stint_index,home_id,away_id,home_p1,home_p2,home_p3,home_p4,home_p5,away_p1,away_p2,away_p3,away_p4,away_p5,seconds,home_pts,away_pts,home_pts_adj,away_pts_adj,start_elapsed,end_elapsed,start_period,start_clock,end_period,end_clock,start_home_score,start_away_score,end_home_score,end_away_score,start_home_score_adj,start_away_score_adj,end_home_score_adj,end_away_score_adj,date,home_inferred_count,away_inferred_count,home_lineup_complete,away_lineup_complete
20300001,0,1610612755,1610612748,727,934,947,1903,2422,224,258,1885,2548,2617,384,0,0,-0.588,1.127,0,384,1,PT12M00.00S,1,PT05M36.00S,0,0,0,0,0.0,0.0,-0.588,1.127,2003-10-28,0,0,1,1
20300001,1,1610612755,1610612748,727,934,947,1903,2422,258,1747,1885,2548,2617,75,0,0,1.992,0.0,384,459,1,PT05M36.00S,1,PT04M21.00S,0,0,0,0,-0.588,1.127,1.404,1.127,2003-10-28,0,0,1,1
20300001,2,1610612755,1610612748,727,934,947,1903,2422,961,1747,2254,2548,2617,73,0,0,-0.0,0.0,459,532,1,PT04M21.00S,1,PT03M08.00S,0,0,0,0,1.404,1.127,1.404,1.127,2003-10-28,0,0,1,1
20300001,3,1610612755,1610612748,243,934,947,1903,2422,961,1747,2254,2548,2617,17,0,0,0.0,0.0,532,549,1,PT03M08.00S,1,PT02M51.00S,0,0,0,0,1.404,1.127,1.404,1.127,2003-10-28,0,0,1,1
20300001,4,1610612755,1610612748,243,934,947,1903,2422,224,961,1747,2254,2617,49,0,0,0.0,0.0,549,598,1,PT02M51.00S,1,PT02M02.00S,0,0,0,0,1.404,1.127,1.404,1.127,2003-10-28,0,0,1,1
20300001,5,1610612755,1610612748,243,947,1531,1903,2584,224,961,1747,2124,2254,191,-21,-14,-20.004,-15.855,598,789,1,PT02M02.00S,2,PT10M51.00S,21,14,0,0,22.404,15.127,2.4,-0.728,2003-10-28,0,0,1,1
20300001,6,1610612755,1610612748,243,947,1531,2223,2584,224,258,961,2124,2548,36,0,0,0.0,0.0,789,825,2,PT10M51.00S,2,PT10M15.00S,0,0,0,0,2.4,-0.728,2.4,-0.728,2003-10-28,0,0,1,1
20300001,7,1610612755,1610612748,243,727,947,1043,1531,224,258,961,2124,2548,143,0,0,0.0,0.0,825,968,2,PT10M15.00S,2,PT07M52.00S,0,0,0,0,2.4,-0.728,2.4,-0.728,2003-10-28,0,0,1,1
20300001,8,1610612755,1610612748,243,727,1043,1531,2422,224,258,961,2124,2548,48,0,0,-1.64,0.0,968,1016,2,PT07M52.00S,2,PT07M04.00S,0,0,0,0,2.4,-0.728,0.76,-0.728,2003-10-28,0,0,1,1
20300001,9,1610612755,1610612748,243,727,934,1531,2422,224,258,961,2124,2548,54,0,0,1.181,0.0,1016,1070,2,PT07M04.00S,2,PT06M10.00S,0,0,0,0,0.76,-0.728,1.941,-0.728,2003-10-28,0,0,1,1
