player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Naz Reid,MIN,77.0,2007.0,1.5,0.9,4.1,15.4,0.565
Jake LaRavia,LAL,80.0,2006.0,0.4,-1.3,3.6,12.0,0.572
Chet Holmgren,OKC,69.0,1997.0,3.2,4.3,9.2,21.6,0.653
Devin Vassell,SAS,65.0,1984.0,1.3,0.7,4.9,13.1,0.574
Davion Mitchell,MIA,69.0,1975.0,0.5,-1.0,4.2,12.1,0.578
Josh Hart,NYK,65.0,1964.0,2.5,3.1,6.1,15.9,0.613
LaMelo Ball,CHO,70.0,1956.0,3.3,4.6,6.0,19.7,0.546
Jalen Duren,DET,69.0,1954.0,3.4,4.9,10.8,26.0,0.687
Bruce Brown,DEN,80.0,1944.0,-0.3,-2.6,2.7,10.6,0.558
Derik Queen,NOP,79.0,1943.0,0.5,-0.9,2.5,15.6,0.545
LeBron James,LAL,58.0,1940.0,2.5,3.1,5.0,20.4,0.593
Harrison Barnes,SAS,75.0,1933.0,1.0,0.0,4.7,11.7,0.606
Ace Bailey,UTA,70.0,1930.0,-1.1,-4.3,0.0,11.6,0.537
Jarace Walker,IND,75.0,1924.0,-0.3,-2.6,0.5,11.5,0.542
Nic Claxton,BRK,69.0,1920.0,1.4,0.9,4.9,17.6,0.592
Neemias Queta,BOS,75.0,1913.0,2.3,2.7,8.9,20.3,0.671
Brandon Miller,CHO,63.0,1910.0,1.7,1.6,4.3,16.8,0.574
Sam Hauser,BOS,77.0,1906.0,1.1,0.4,4.7,11.7,0.582
Deandre Ayton,LAL,70.0,1903.0,0.5,-1.0,5.8,18.0,0.677
Maxime Raynaud,SAC,72.0,1887.0,-0.4,-2.8,3.3,15.8,0.611
Myles Turner,MIL,70.0,1885.0,0.5,-1.0,2.9,14.1,0.585
Anthony Black,ORL,62.0,1872.0,0.7,-0.6,2.6,13.7,0.551
Rui Hachimura,LAL,66.0,1867.0,-0.2,-2.4,2.9,11.4,0.616
