player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Guerschon Yabusele,NYK,41.0,366.0,-0.2,-3.8,0.4,8.6,0.499
Guerschon Yabusele,CHI,26.0,641.0,0.1,-1.3,1.0,12.5,0.564
Aaron Gordon,DEN,36.0,1005.0,0.9,1.6,3.2,18.5,0.62
Rayan Rupert,2TM,62.0,991.0,-0.7,-4.9,0.7,8.0,0.5
Rayan Rupert,POR,48.0,577.0,-0.5,-5.1,0.2,5.8,0.447
Rayan Rupert,MEM,14.0,414.0,-0.3,-4.7,0.5,11.1,0.557
Olivier-Maxence Prosper,MEM,53.0,984.0,0.5,-0.1,2.5,16.9,0.662
Ochai Agbaji,2TM,62.0,973.0,-0.5,-4.1,0.9,8.9,0.525
Ochai Agbaji,TOR,42.0,650.0,-0.5,-4.7,0.6,7.5,0.495
Ochai Agbaji,BRK,20.0,323.0,-0.1,-2.7,0.3,11.7,0.572
Franz Wagner,ORL,32.0,970.0,1.1,2.4,2.7,19.1,0.587
Robert Williams,POR,57.0,968.0,1.6,4.3,4.2,22.0,0.72
Mike Conley,MIN,53.0,967.0,0.1,-1.5,1.8,9.1,0.504
Jamir Watkins,WAS,48.0,967.0,-0.3,-3.3,1.0,11.7,0.551
T.J. McConnell,IND,56.0,963.0,1.1,2.5,2.6,20.6,0.567
Nae'Qwan Tomlin,CLE,62.0,948.0,-0.1,-2.4,2.0,12.4,0.539
Goga Bitadze,ORL,62.0,939.0,1.1,2.7,4.1,19.7,0.692
Justin Edwards,PHI,62.0,938.0,0.2,-1.4,1.6,12.0,0.573
Jalen Williams,OKC,33.0,936.0,1.0,2.2,3.1,19.0,0.56
Tyus Jones,3TM,65.0,935.0,-0.1,-2.4,1.0,8.2,0.443
Tyus Jones,ORL,48.0,754.0,0.1,-1.7,1.0,8.4,0.448
Tyus Jones,DAL,8.0,133.0,-0.1,-4.3,0.1,8.7,0.444
Tyus Jones,DEN,9.0,48.0,-0.1,-7.8,-0.1,3.3,0.372
Al Horford,GSW,43.0,933.0,0.9,1.8,2.1,14.9,0.554
Rob Dillingham,2TM,63.0,913.0,-1.2,-7.3,-1.1,7.3,0.46
Rob Dillingham,MIN,35.0,326.0,-0.5,-8.2,-0.5,6.0,0.404
Rob Dillingham,CHI,28.0,587.0,-0.7,-6.8,-0.6,8.0,0.492
Karlo Matković,NOP,62.0,912.0,0.6,0.6,2.7,16.5,0.696
Isaiah Jackson,2TM,55.0,908.0,0.2,-1.1,2.6,17.3,0.653
Isaiah Jackson,IND,38.0,638.0,-0.1,-2.7,1.4,15.2,0.615
Isaiah Jackson,LAC,17.0,270.0,0.3,2.6,1.2,22.2,0.741
Jordan Poole,NOP,38.0,905.0,-0.3,-3.3,0.3,11.8,0.532
Kobe Brown,2TM,59.0,901.0,-0.2,-2.7,1.3,12.0,0.591
Kobe Brown,LAC,34.0,295.0,0.0,-2.3,0.3,11.2,0.524
Kobe Brown,IND,25.0,606.0,-0.1,-2.9,0.9,12.3,0.627
Clint Capela,HOU,73.0,894.0,0.5,0.1,2.7,17.0,0.522
Kasparas Jakučionis,MIA,51.0,894.0,0.3,-0.7,2.0,11.4,0.597
Josh Green,CHO,56.0,887.0,0.3,-0.7,1.8,9.7,0.643
Anthony Gill,WAS,53.0,886.0,-0.1,-2.5,1.6,13.5,0.672
Jaden Hardy,2TM,56.0,882.0,-0.6,-4.7,-0.2,11.0,0.568
Jaden Hardy,DAL,34.0,428.0,-0.2,-3.9,0.1,10.7,0.551
Jaden Hardy,WAS,22.0,454.0,-0.4,-5.5,-0.3,11.4,0.583
Cam Thomas,2TM,42.0,881.0,-0.7,-5.1,-0.4,12.6,0.53
Cam Thomas,BRK,24.0,582.0,-0.4,-5.0,-0.2,12.3,0.527
Cam Thomas,MIL,18.0,299.0,-0.3,-5.3,-0.2,13.1,0.534
Bryce McGowens,NOP,42.0,880.0,-0.2,-2.9,1.8,11.7,0.61
Paul Reed,DET,63.0,869.0,1.5,4.7,4.1,23.4,0.639
Gabe Vincent,2TM,52.0,865.0,-0.5,-4.3,0.6,6.6,0.511
Gabe Vincent,LAL,29.0,559.0,-0.4,-4.9,0.3,5.5,0.512
Gabe Vincent,ATL,23.0,306.0,-0.1,-3.2,0.3,8.6,0.51
Dylan Cardwell,SAC,42.0,862.0,0.0,-1.8,2.2,15.9,0.6
Trendon Watford,PHI,52.0,857.0,0.0,-1.9,1.4,13.1,0.572
Caleb Martin,DAL,58.0,856.0,-0.1,-2.3,0.9,9.4,0.526
Dwight Powell,DAL,61.0,855.0,0.1,-1.6,2.4,12.4,0.699
Micah Potter,IND,45.0,850.0,0.6,1.0,2.6,17.3,0.684
Ben Saraf,BRK,42.0,849.0,-1.1,-7.3,-1.1,7.5,0.479
Jaylen Clark,MIN,66.0,845.0,-0.1,-2.3,1.7,10.5,0.535
Quenton Jackson,IND,47.0,841.0,0.0,-2.1,1.3,14.0,0.593
Micah Peavy,NOP,59.0,836.0,-0.6,-5.1,0.3,8.4,0.451
Josh Minott,2TM,49.0,834.0,0.9,2.5,2.4,16.1,0.653
Josh Minott,BOS,33.0,526.0,0.6,2.2,1.9,15.6,0.651
Josh Minott,BRK,16.0,308.0,0.4,2.9,0.5,16.8,0.654
Jevon Carter,2TM,51.0,831.0,0.2,-1.0,0.9,10.8,0.535
Jevon Carter,CHI,23.0,254.0,0.1,-0.9,0.3,12.4,0.577
Jevon Carter,ORL,28.0,577.0,0.1,-1.1,0.6,10.2,0.513
Jalen Green,PHO,32.0,828.0,0.2,-1.2,0.3,14.8,0.516
Jonas Valančiūnas,DEN,63.0,820.0,0.3,-0.4,2.7,21.4,0.631
Vince Williams Jr.,2TM,40.0,820.0,0.2,-1.0,0.2,10.7,0.478
Vince Williams Jr.,MEM,34.0,736.0,0.2,-0.9,0.2,10.8,0.478
Vince Williams Jr.,UTA,6.0,84.0,0.0,-2.1,0.0,9.8,0.47
Kyle Anderson,3TM,42.0,820.0,0.5,0.2,1.7,13.2,0.572
Kyle Anderson,UTA,20.0,401.0,0.2,-0.3,0.7,14.2,0.565
Kyle Anderson,MEM,4.0,89.0,0.0,-1.1,0.2,15.2,0.821
Kyle Anderson,MIN,18.0,330.0,0.3,1.2,0.7,11.5,0.504
Nikola Jović,MIA,47.0,808.0,-0.3,-3.6,0.0,9.5,0.48
Jonathan Kuminga,2TM,35.0,807.0,0.0,-2.0,1.0,14.1,0.56
Jonathan Kuminga,GSW,20.0,476.0,-0.2,-3.6,0.2,12.5,0.543
Jonathan Kuminga,ATL,15.0,331.0,0.2,0.2,0.7,16.4,0.586
Javon Small,MEM,40.0,804.0,0.7,1.3,2.0,16.3,0.621
Jalen Wilson,BRK,52.0,798.0,-0.7,-5.6,0.2,8.5,0.537
Buddy Hield,2TM,50.0,798.0,0.1,-1.7,0.8,11.9,0.552
Buddy Hield,GSW,44.0,768.0,0.2,-1.0,1.0,12.6,0.562
Buddy Hield,ATL,6.0,30.0,-0.1,-19.7,-0.2,-5.5,0.242
Julian Strawther,DEN,55.0,793.0,-0.1,-2.6,1.1,12.1,0.588
Keegan Murray,SAC,23.0,793.0,-0.2,-3.1,0.2,11.7,0.499
Kenrich Williams,OKC,54.0,791.0,0.6,0.8,2.3,14.3,0.59
Daeqwon Plowden,SAC,30.0,785.0,-0.5,-4.6,0.7,10.5,0.571
Tyrese Martin,2TM,45.0,775.0,-0.3,-3.3,0.1,10.3,0.501
Tyrese Martin,BRK,37.0,696.0,-0.2,-3.1,0.2,10.8,0.507
Tyrese Martin,PHI,8.0,79.0,-0.1,-5.7,-0.1,6.1,0.437
Carter Bryant,SAS,69.0,762.0,-0.3,-3.3,1.1,9.5,0.516
Aaron Holiday,HOU,55.0,755.0,-0.1,-2.6,1.4,10.0,0.575
Jabari Walker,PHI,63.0,754.0,-0.2,-2.8,1.6,12.3,0.562
Noah Penda,ORL,58.0,750.0,0.1,-1.4,1.1,11.4,0.511
Jalen Pickett,DEN,48.0,747.0,0.0,-2.0,1.0,10.5,0.55
Pete Nance,MIL,47.0,737.0,-0.1,-2.3,1.1,11.6,0.639
Thomas Bryant,CLE,60.0,732.0,0.4,0.1,2.3,17.2,0.625
Steven Adams,HOU,32.0,730.0,0.3,-0.5,2.1,15.8,0.535
Lonzo Ball,CLE,35.0,728.0,0.2,-1.1,0.6,9.5,0.432
Tyler Kolek,NYK,62.0,727.0,0.3,-0.6,1.4,12.5,0.533
Kristaps Porziņģis,2TM,30.0,719.0,0.9,2.7,2.4,20.3,0.588
Kristaps Porziņģis,ATL,17.0,413.0,0.6,3.7,1.5,20.6,0.592
Kristaps Porziņģis,GSW,13.0,306.0,0.3,1.4,0.8,19.8,0.583
Nick Richards,2TM,48.0,701.0,-0.7,-6.1,0.6,11.9,0.562
Nick Richards,PHO,28.0,254.0,-0.3,-6.8,0.2,11.4,0.534
Nick Richards,CHI,20.0,447.0,-0.4,-5.7,0.4,12.2,0.577
Jett Howard,ORL,55.0,695.0,0.0,-1.8,1.2,11.3,0.561
Scoot Henderson,POR,28.0,690.0,0.0,-2.2,0.9,13.0,0.55
Tristan Vukcevic,WAS,49.0,671.0,0.3,-0.1,0.8,17.8,0.603
Jaden Ivey,2TM,37.0,670.0,0.3,0.0,1.3,13.0,0.571
Jaden Ivey,DET,33.0,555.0,0.3,0.0,1.1,12.6,0.57
Jaden Ivey,CHI,4.0,115.0,0.1,-0.1,0.3,14.9,0.576
Grant Williams,CHO,34.0,668.0,0.5,1.2,1.8,12.6,0.612
Tre Mann,CHO,51.0,661.0,-0.5,-5.0,0.0,8.6,0.466
Gary Harris,MIL,48.0,661.0,-0.1,-2.6,0.7,8.0,0.593
Sharife Cooper,WAS,39.0,651.0,-0.4,-4.5,0.4,12.9,0.593
Leonard Miller,2TM,44.0,645.0,0.2,-1.0,1.5,16.2,0.63
Leonard Miller,MIN,19.0,95.0,-0.1,-5.9,0.1,12.2,0.581
Leonard Miller,CHI,25.0,550.0,0.3,-0.2,1.4,16.8,0.638
Johnny Furphy,IND,35.0,643.0,-0.3,-3.7,0.5,9.2,0.547
Jordan Hawkins,NOP,49.0,636.0,-0.7,-6.1,-0.4,7.3,0.482
Devin Carter,SAC,36.0,631.0,-0.2,-3.1,0.1,13.4,0.508
Anthony Davis,DAL,20.0,626.0,0.7,2.4,1.4,21.6,0.551
Kevin Love,UTA,37.0,613.0,0.3,0.2,1.1,14.8,0.568
Rasheer Fleming,PHO,53.0,611.0,-0.2,-3.6,0.8,10.8,0.519
Dorian Finney-Smith,HOU,36.0,599.0,-0.4,-4.4,0.5,5.5,0.449
Zeke Nnaji,DEN,50.0,592.0,-0.3,-3.6,0.8,10.3,0.558
Mohamed Diawara,NYK,67.0,590.0,0.1,-1.4,1.0,10.8,0.566
Jahmai Mashack,MEM,29.0,587.0,-0.7,-6.7,-0.4,6.9,0.456
Ethan Thompson,IND,30.0,584.0,-0.4,-5.0,0.2,7.9,0.507
Jase Richardson,ORL,53.0,581.0,-0.1,-2.9,0.9,11.0,0.568
Jamaree Bouyea,PHO,44.0,578.0,0.3,0.2,1.2,13.9,0.528
Kam Jones,IND,35.0,575.0,-0.6,-6.1,0.1,8.4,0.48
Tidjane Salaün,CHO,36.0,571.0,0.2,-0.5,1.4,13.1,0.632
Ja Morant,MEM,20.0,569.0,0.1,-1.5,0.3,16.7,0.521
Domantas Sabonis,SAC,19.0,564.0,0.4,0.5,1.1,19.2,0.59
Drew Eubanks,SAC,42.0,552.0,-0.2,-3.7,0.6,13.6,0.605
Dalen Terry,2TM,47.0,546.0,0.0,-1.7,0.7,11.6,0.522
Dalen Terry,CHI,34.0,377.0,0.1,-1.3,0.5,11.6,0.539
Dalen Terry,PHI,13.0,169.0,0.0,-2.6,0.2,11.4,0.489
Elijah Harkless,UTA,26.0,545.0,-0.5,-5.8,0.0,9.1,0.471
Taurean Prince,MIL,24.0,544.0,-0.2,-3.2,0.4,10.2,0.623
Dalton Knecht,LAL,52.0,537.0,-0.4,-4.8,0.2,8.7,0.543
Cole Anthony,MIL,35.0,527.0,-0.4,-4.8,-0.5,10.7,0.483
Jayson Tatum,BOS,16.0,522.0,0.9,4.7,1.6,20.3,0.541
Jonathan Isaac,ORL,52.0,521.0,0.1,-1.6,0.9,11.6,0.498
Jamison Battle,TOR,59.0,505.0,-0.1,-2.6,0.9,10.6,0.634
Tyrese Proctor,CLE,48.0,498.0,-0.2,-3.3,0.6,11.3,0.535
Keaton Wallace,ATL,51.0,496.0,0.0,-1.8,0.9,11.2,0.545
D'Angelo Russell,DAL,26.0,495.0,0.0,-2.3,0.0,12.3,0.511
Trayce Jackson-Davis,2TM,52.0,491.0,0.2,-0.4,1.4,16.3,0.576
Trayce Jackson-Davis,GSW,36.0,411.0,0.2,-0.4,1.2,16.0,0.601
Trayce Jackson-Davis,TOR,16.0,80.0,0.0,-0.8,0.2,18.0,0.471
Cam Christie,LAC,54.0,478.0,-0.3,-4.5,0.2,9.3,0.488
Terrence Shannon Jr.,MIN,41.0,475.0,-0.2,-3.6,0.8,10.0,0.593
Moussa Cisse,DAL,36.0,469.0,-0.1,-2.7,1.1,15.5,0.58
Ariel Hukporti,NYK,52.0,455.0,0.0,-2.3,1.1,11.6,0.612
Taelon Peter,IND,36.0,455.0,-0.3,-4.3,0.0,8.9,0.527
Matisse Thybulle,POR,28.0,454.0,0.7,3.9,1.1,14.1,0.603
Asa Newell,ATL,42.0,453.0,0.1,-1.4,1.1,14.1,0.63
Marcus Sasser,DET,36.0,448.0,0.0,-1.7,0.8,11.4,0.539
Jamal Cain,ORL,38.0,445.0,0.0,-2.0,1.0,12.2,0.607
Jeremy Sochan,2TM,42.0,443.0,0.0,-1.7,1.0,11.6,0.559
Jeremy Sochan,SAS,28.0,358.0,-0.1,-3.0,0.6,9.7,0.538
Jeremy Sochan,NYK,14.0,85.0,0.1,3.7,0.4,19.6,0.653
Amir Coffey,2TM,44.0,443.0,-0.1,-3.2,0.8,9.9,0.593
Amir Coffey,MIL,30.0,265.0,-0.2,-5.3,0.3,8.4,0.584
Amir Coffey,PHO,14.0,178.0,0.1,-0.2,0.5,12.2,0.606
Maxi Kleber,LAL,41.0,434.0,-0.2,-3.5,0.6,8.4,0.522
Bogdan Bogdanović,LAC,22.0,431.0,-0.2,-4.1,0.0,8.0,0.5
Moritz Wagner,ORL,36.0,427.0,0.0,-2.2,0.9,15.4,0.545
Yanic Konan Niederhäuser,LAC,41.0,424.0,0.0,-2.2,1.3,16.4,0.691
Tony Bradley,2TM,39.0,420.0,-0.3,-4.4,0.8,12.7,0.595
Tony Bradley,IND,38.0,416.0,-0.2,-4.1,0.9,13.0,0.604
Tony Bradley,ATL,1.0,4.0,0.0,-42.5,-0.1,-21.1,0.0
Larry Nance Jr.,CLE,33.0,412.0,-0.1,-3.4,0.5,9.3,0.484
Branden Carlson,OKC,40.0,409.0,0.3,0.4,1.4,16.6,0.615
AJ Johnson,2TM,46.0,409.0,-0.7,-8.7,-0.9,4.8,0.381
AJ Johnson,WAS,25.0,214.0,-0.5,-10.5,-0.6,4.3,0.396
AJ Johnson,DAL,21.0,195.0,-0.2,-6.8,-0.3,5.3,0.363
Bez Mbeng,UTA,13.0,406.0,-0.4,-6.2,0.2,8.2,0.516
Myron Gardner,MIA,43.0,401.0,0.3,0.9,1.4,15.3,0.608
Julian Phillips,2TM,47.0,401.0,-0.1,-3.1,0.4,9.2,0.532
Julian Phillips,CHI,35.0,334.0,-0.1,-2.9,0.4,9.3,0.533
Julian Phillips,MIN,12.0,67.0,0.0,-4.5,0.1,8.5,0.529
Doug McDermott,SAC,27.0,400.0,-0.2,-3.7,0.2,9.3,0.589
Leaky Black,WAS,13.0,392.0,-0.2,-4.4,0.2,8.8,0.53
Dejounte Murray,NOP,14.0,389.0,0.3,1.4,0.6,18.1,0.58
Oscar Tshiebwe,UTA,25.0,388.0,-0.1,-2.7,1.0,18.4,0.623
Obi Toppin,IND,22.0,386.0,0.5,2.9,1.1,19.9,0.63
Trae Young,2TM,15.0,384.0,0.5,2.8,1.4,21.1,0.612
Trae Young,ATL,10.0,280.0,0.3,1.8,1.0,19.9,0.577
Trae Young,WAS,5.0,104.0,0.2,5.6,0.4,24.6,0.723
Khaman Maluach,PHO,44.0,374.0,-0.2,-4.1,0.7,12.9,0.581
Cameron Payne,PHI,22.0,374.0,0.2,0.3,0.8,14.4,0.514
Jae'Sean Tate,HOU,44.0,371.0,-0.2,-3.9,0.7,10.2,0.557
Andre Jackson Jr.,MIL,46.0,363.0,-0.4,-6.7,-0.3,7.2,0.442
Liam McNeeley,CHO,30.0,363.0,0.1,-1.2,0.9,10.8,0.594
Killian Hayes,SAC,21.0,361.0,-0.4,-6.1,-0.3,8.6,0.412
Jeremiah Robinson-Earl,2TM,22.0,361.0,-0.3,-5.2,0.2,9.4,0.468
Jeremiah Robinson-Earl,IND,17.0,300.0,-0.3,-5.4,0.1,8.6,0.443
Jeremiah Robinson-Earl,DAL,5.0,61.0,0.0,-4.1,0.1,12.9,0.586
Kelly Olynyk,SAS,42.0,360.0,0.2,-0.1,1.0,13.5,0.59
Blake Wesley,POR,29.0,357.0,-0.1,-3.5,0.3,10.9,0.511
Cam Whitmore,WAS,21.0,354.0,-0.1,-3.2,0.0,13.7,0.528
Isaiah Livers,PHO,36.0,347.0,0.0,-2.6,0.4,7.6,0.469
Julian Reese,WAS,11.0,347.0,-0.3,-5.9,0.2,13.6,0.548
Bronny James,LAL,40.0,344.0,-0.3,-4.9,0.0,8.3,0.495
Nick Smith Jr.,LAL,28.0,344.0,-0.2,-4.0,0.1,10.7,0.561
Ty Jerome,MEM,15.0,339.0,0.8,7.7,1.4,25.7,0.616
Christian Koloko,3TM,26.0,336.0,-0.2,-3.9,0.4,9.3,0.467
Christian Koloko,LAL,2.0,6.0,0.0,-8.5,0.0,-0.3,
Christian Koloko,MEM,11.0,195.0,0.0,-3.1,0.1,9.0,0.394
Christian Koloko,ATL,13.0,135.0,-0.1,-4.8,0.2,10.2,0.539
Kennedy Chandler,UTA,10.0,314.0,-0.3,-6.3,0.2,12.4,0.518
Tyson Etienne,BRK,22.0,311.0,-0.1,-3.2,0.3,10.7,0.574
Chaney Johnson,BRK,16.0,311.0,0.2,0.4,0.9,16.0,0.66
Tyler Burton,MEM,12.0,307.0,-0.3,-5.3,0.2,9.5,0.521
Yang Hansen,POR,41.0,296.0,-0.6,-9.6,-0.5,3.7,0.413
Pat Connaughton,CHO,41.0,293.0,0.2,0.5,0.7,13.4,0.593
LJ Cryer,GSW,18.0,292.0,-0.2,-4.7,0.3,10.0,0.59
E.J. Liddell,BRK,24.0,290.0,-0.1,-3.0,0.4,12.3,0.598
Brooks Barnhizer,OKC,38.0,289.0,0.0,-2.5,0.5,7.2,0.44
Lindy Waters III,SAS,40.0,285.0,-0.1,-3.2,0.4,7.5,0.532
Zach Edey,MEM,11.0,284.0,0.2,0.6,0.8,20.8,0.669
Kevon Looney,NOP,20.0,283.0,0.0,-1.6,0.7,14.4,0.473
Lachlan Olbrich,CHI,35.0,282.0,-0.2,-4.5,0.4,10.5,0.468
Malachi Smith,BRK,13.0,281.0,0.1,-0.7,0.5,13.3,0.588
Malaki Branham,WAS,28.0,275.0,0.0,-2.3,0.4,14.1,0.604
Jordan McLaughlin,SAS,42.0,274.0,0.1,-0.1,0.5,11.2,0.531
Ron Harper Jr.,BOS,27.0,269.0,0.2,0.5,0.6,11.4,0.531
Jalen Slawson,IND,11.0,268.0,0.1,0.2,0.5,13.6,0.593
Duop Reath,POR,32.0,258.0,0.1,-0.9,0.5,10.6,0.613
Joan Beringer,MIN,38.0,257.0,0.0,-1.5,1.0,18.4,0.644
Chaz Lanier,DET,32.0,254.0,-0.2,-5.1,0.3,6.7,0.43
KJ Simpson,2TM,19.0,251.0,-0.2,-5.2,-0.2,7.8,0.42
KJ Simpson,CHO,14.0,223.0,-0.2,-5.3,-0.2,7.8,0.437
KJ Simpson,DEN,5.0,28.0,0.0,-4.8,0.0,8.1,0.253
Malevy Leons,GSW,23.0,248.0,-0.1,-3.9,0.3,10.9,0.475
Max Strus,CLE,10.0,247.0,0.2,1.1,0.8,14.8,0.667
DeJon Jarreau,MEM,11.0,231.0,-0.2,-5.2,-0.2,9.8,0.473
Chris Paul,LAC,16.0,228.0,-0.1,-4.2,0.1,8.1,0.413
Jonathan Mogbo,TOR,38.0,227.0,0.1,-1.1,0.5,12.5,0.573
Nate Williams,GSW,13.0,227.0,-0.2,-5.5,0.2,10.8,0.594
Keshad Johnson,MIA,30.0,225.0,0.1,-1.0,0.5,15.1,0.576
Blake Hinson,UTA,12.0,225.0,0.1,-0.4,0.5,15.8,0.704
Drew Timme,LAL,25.0,222.0,0.0,-2.5,0.4,12.5,0.65
PJ Hall,2TM,19.0,214.0,0.0,-2.3,0.6,15.9,0.599
PJ Hall,MEM,7.0,27.0,0.0,1.8,0.1,18.9,0.63
PJ Hall,CHO,12.0,187.0,0.0,-2.9,0.5,15.4,0.594
Scotty Pippen Jr.,MEM,10.0,212.0,0.0,-2.8,0.1,14.8,0.537
DaRon Holmes,DEN,23.0,203.0,0.1,-0.7,0.4,13.3,0.702
Adama-Alpha Bal,MEM,7.0,203.0,-0.2,-5.9,0.2,8.6,0.55
DeAndre Jordan,NOP,12.0,199.0,0.1,-0.3,0.6,15.7,0.671
Cormac Ryan,MIL,9.0,198.0,0.1,-0.5,0.5,15.9,0.725
Garrison Mathews,IND,15.0,196.0,0.0,-1.3,0.4,11.2,0.628
Nigel Hayes-Davis,PHO,27.0,195.0,-0.3,-7.3,-0.1,4.2,0.356
MarJon Beauchamp,PHI,13.0,194.0,0.0,-1.6,0.2,13.1,0.565
A.J. Lawson,TOR,22.0,193.0,0.0,-1.3,0.5,13.1,0.581
JD Davison,HOU,27.0,192.0,0.0,-2.0,0.3,10.1,0.494
John Poulakidas,DAL,11.0,188.0,-0.1,-3.0,0.3,10.2,0.588
Yuki Kawamura,CHI,16.0,186.0,0.0,-2.8,0.3,12.0,0.523
Zach Collins,CHI,10.0,184.0,0.1,0.3,0.5,17.9,0.666
Chris Youngblood,2TM,33.0,183.0,0.0,-2.2,0.5,10.6,0.527
Chris Youngblood,OKC,32.0,174.0,0.0,-2.8,0.4,10.0,0.505
Chris Youngblood,POR,1.0,9.0,0.0,10.3,0.1,22.3,1.0
RayJ Dennis,3TM,16.0,180.0,-0.1,-5.1,-0.3,6.5,0.416
RayJ Dennis,IND,13.0,168.0,-0.1,-5.2,-0.3,6.4,0.421
RayJ Dennis,LAC,1.0,4.0,0.0,-15.5,0.0,-6.0,
RayJ Dennis,ATL,2.0,8.0,0.0,4.0,0.0,13.8,0.0
Xavier Tillman Sr.,2TM,29.0,180.0,0.0,-2.0,0.3,10.7,0.449
Xavier Tillman Sr.,BOS,14.0,111.0,0.0,-1.2,0.2,11.2,0.5
Xavier Tillman Sr.,CHO,15.0,69.0,0.0,-3.3,0.1,9.9,0.349
Andersson Garcia,UTA,5.0,169.0,-0.2,-5.9,0.0,8.4,0.394
Hunter Tyson,DEN,21.0,162.0,-0.2,-6.9,0.0,6.4,0.398
Mason Plumlee,2TM,19.0,156.0,0.1,1.0,0.5,13.4,0.757
Mason Plumlee,CHO,14.0,125.0,0.1,1.2,0.4,13.5,0.752
Mason Plumlee,SAS,5.0,31.0,0.0,0.2,0.1,12.9,0.798
Walker Kessler,UTA,5.0,154.0,0.2,3.3,0.5,20.7,0.786
Jeff Green,HOU,29.0,151.0,-0.1,-4.5,0.3,9.5,0.497
Lucas Williamson,MEM,5.0,141.0,-0.2,-8.4,0.0,7.3,0.509
Bismack Biyombo,SAS,24.0,136.0,-0.1,-5.7,0.2,4.4,0.615
Amari Williams,BOS,21.0,136.0,0.0,-1.8,0.2,10.2,0.556
Adou Thiero,LAL,23.0,135.0,-0.1,-5.2,0.1,9.3,0.532
Alijah Martin,TOR,22.0,134.0,0.0,-2.5,0.2,11.2,0.454
Miles Kelly,DAL,14.0,134.0,-0.1,-5.1,0.0,8.2,0.484
Toby Okani,MEM,4.0,134.0,-0.3,-10.7,-0.1,3.5,0.409
Tolu Smith,DET,14.0,132.0,0.1,-0.2,0.5,15.9,0.561
Kevin McCullar Jr.,NYK,20.0,130.0,-0.1,-3.9,0.1,8.4,0.471
Thanasis Antetokounmpo,MIL,33.0,121.0,0.0,-2.0,0.2,14.1,0.521
Seth Curry,GSW,9.0,121.0,0.1,0.4,0.4,16.7,0.687
Bradley Beal,LAC,6.0,121.0,-0.3,-10.6,-0.2,5.1,0.476
Joe Ingles,MIN,26.0,120.0,0.1,-0.2,0.2,11.2,0.727
Dariq Whitehead,MEM,4.0,120.0,-0.2,-10.0,-0.2,5.7,0.454
Charles Bassey,4TM,11.0,120.0,0.1,1.8,0.5,22.5,0.65
Charles Bassey,MEM,2.0,31.0,0.0,-4.4,0.0,12.7,0.376
Charles Bassey,PHI,1.0,5.0,0.0,7.0,0.0,21.3,1.0
Charles Bassey,BOS,5.0,17.0,0.1,10.2,0.1,38.6,0.799
Charles Bassey,GSW,3.0,67.0,0.1,2.1,0.3,23.1,0.691
Kobe Bufkin,LAL,16.0,119.0,-0.2,-9.5,-0.1,6.2,0.416
Dereck Lively II,DAL,7.0,115.0,0.1,0.6,0.3,15.0,0.67
Tre Scott,BRK,4.0,115.0,0.0,-2.5,0.1,11.3,0.455
Kyle Lowry,PHI,13.0,113.0,-0.2,-8.8,-0.1,3.0,0.375
Tyler Smith,DAL,10.0,110.0,-0.1,-5.1,0.0,7.7,0.458
Mac McClung,2TM,9.0,107.0,-0.1,-5.6,-0.1,8.9,0.437
Mac McClung,IND,3.0,34.0,0.0,0.5,0.0,12.8,0.481
Mac McClung,CHI,6.0,73.0,-0.1,-8.4,-0.1,7.2,0.412
Pacôme Dadiet,NYK,27.0,105.0,0.0,-2.0,0.2,10.0,0.452
Omer Yurtseven,GSW,9.0,104.0,-0.1,-7.6,0.1,9.1,0.501
Luke Travers,CLE,12.0,103.0,0.0,-3.2,0.1,10.2,0.35
Patrick Baldwin Jr.,3TM,9.0,102.0,-0.1,-4.5,0.1,11.8,0.549
Patrick Baldwin Jr.,LAC,2.0,12.0,0.0,4.9,0.1,23.6,1.025
Patrick Baldwin Jr.,PHI,1.0,2.0,0.0,-8.0,0.0,6.3,
Patrick Baldwin Jr.,SAC,6.0,88.0,-0.1,-5.7,0.0,10.3,0.456
Alondes Williams,WAS,4.0,101.0,0.1,1.0,0.3,19.1,0.745
Javonte Cooke,POR,19.0,94.0,-0.2,-11.7,-0.3,-0.1,0.275
Chris Boucher,BOS,9.0,94.0,0.0,-3.2,0.1,7.8,0.392
Johnny Juzang,MIN,21.0,88.0,0.0,-3.4,0.1,12.1,0.518
TyTy Washington Jr.,LAC,15.0,86.0,0.1,2.1,0.2,13.7,0.553
Nikola Topić,OKC,8.0,82.0,-0.1,-8.6,-0.1,4.4,0.419
Haywood Highsmith,PHO,6.0,80.0,0.1,5.1,0.4,18.4,0.729
Taj Gibson,MEM,9.0,78.0,0.0,-1.3,0.3,15.5,0.609
Isaiah Crawford,HOU,13.0,76.0,0.0,-4.1,0.0,6.5,0.43
Caleb Houstan,ATL,18.0,75.0,0.0,0.3,0.2,16.4,0.769
Eric Gordon,PHI,6.0,74.0,0.1,2.3,0.2,14.4,0.754
Bobi Klintman,DET,12.0,71.0,-0.1,-8.7,-0.1,4.5,0.388
Garrett Temple,TOR,21.0,69.0,-0.1,-7.3,-0.1,3.1,0.39
David Jones García,SAS,11.0,68.0,0.1,6.4,0.3,20.9,0.579
Antonio Reeves,CHO,10.0,68.0,0.1,1.3,0.2,12.4,0.675
Kadary Richmond,WAS,3.0,67.0,0.1,3.6,0.2,20.0,0.722
Monte Morris,IND,6.0,65.0,-0.1,-6.0,0.0,6.9,0.414
