game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500947,2,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,0,0.0,free_throw,1,2026-03-11
22500947,9,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,3,1.224,made_shot,1,2026-03-11
22500947,14,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,1,1.0,free_throw,1,2026-03-11
22500947,18,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,0,0.0,defensive_rebound,1,2026-03-11
22500947,19,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,0,0.0,defensive_rebound,1,2026-03-11
22500947,21,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,2,2.0,free_throw,1,2026-03-11
22500947,22,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,2,2.0,made_shot,1,2026-03-11
22500947,23,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,2,2.0,made_shot,1,2026-03-11
22500947,24,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,1,1.0,free_throw,1,2026-03-11
22500947,25,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,3,1.238,made_shot,1,2026-03-11
22500947,26,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1629731,1630241,1630596,1642281,3,3.0,free_throw,1,2026-03-11
22500947,27,1610612739,1610612753,201935,1629731,1630241,1630596,1642281,1628976,1630217,1630591,1631094,1641783,0,0.0,defensive_rebound,1,2026-03-11
